"Company","Address","More Info URL","Has DEQ Permit","Has Onsite Storage of Chemicals","DEQ General Permit Type","DEQ General Permit Type Description"
"Oldcastle Precast, Inc Oldcastle Precast - Portland","755 NE COLUMBIA BLVD, PORTLAND, OR 97211","www.portlandcleanair.org/26-0112","Yes","No",9," Ready-Mix/Concrete Plants"
"Willamette Graystone, Inc. ","2405 NE 244TH AVE, WOOD VILLAGE, OR 97060","www.portlandcleanair.org/26-0253","Yes","No",9," Ready-Mix/Concrete Plants"
"Troutdale Sand & Gravel Co. ","2205 NE 244TH, TROUTDALE, OR 97060","www.portlandcleanair.org/26-1939","Yes","No",9," Ready-Mix/Concrete Plants"
"Ross Island Sand & Gravel Co. Vanport","1835 N MARINE DR, PORTLAND, OR 97217","www.portlandcleanair.org/26-1944","Yes","Yes",9," Ready-Mix/Concrete Plants"
"Ross Island Sand & Gravel Co. Albina Ready Mix Plant","1208 N RIVER ST, PORTLAND, OR 97227","www.portlandcleanair.org/26-1946","Yes","Yes",9," Ready-Mix/Concrete Plants"
"Glacier Northwest, Inc. NW Front","5034 NW FRONT AVE, PORTLAND, OR 97210","www.portlandcleanair.org/26-3265","Yes","Yes",9," Ready-Mix/Concrete Plants"
"Pacific Rock Products, LLC dba CEMEX Swan Island Redi-Mix Plant","5225 N CHANNEL AVE, PORTLAND, OR 97217","www.portlandcleanair.org/26-9535","Yes","No",9," Ready-Mix/Concrete Plants"
"Northwest Copper Works, Inc. ","1303 N RIVER ST, PORTLAND, OR 97227","www.portlandcleanair.org/26-0168","Yes","No",25," Metal Fabrication and Finishing: Large"
"Sulzer Pumps (US), Inc. ","2800 NW FRONT AVE, PORTLAND, OR 97210","www.portlandcleanair.org/26-0178","Yes","Yes",25," Metal Fabrication and Finishing: Large"
"Rikar Enterprises Inc. Pioneer Trailer and Fabrication","7559 NE 33RD DRIVE, PORTLAND, OR 97211","www.portlandcleanair.org/26-0179","Yes","No",25," Metal Fabrication and Finishing: Large"
"American Metal Products Company AMPCO","1532 SE 3RD AVENUE, PORTLAND, OR 97214","www.portlandcleanair.org/26-0184","Yes","No",25," Metal Fabrication and Finishing: Large"
"CH Murphy/Clark-Ulman, Inc. ","5565 N DOLPHIN ST, PORTLAND, OR 97217","www.portlandcleanair.org/26-0187","Yes","No",25," Metal Fabrication and Finishing: Large"
"Transco Industries, Inc. ","5534 NE 122ND AVE, PORTLAND, OR 97230","www.portlandcleanair.org/26-0218","Yes","No",25," Metal Fabrication and Finishing: Large"
"The Lynch Company, Inc. ","4706 SE 18TH AVE, PORTLAND, OR 97202","www.portlandcleanair.org/26-0251","Yes","No",25," Metal Fabrication and Finishing: Large"
"East Side Plating, Inc. Plant #4","310 SE STEPHENS ST, PORTLAND, OR 97214","www.portlandcleanair.org/26-0171","Yes","Yes",26," Plating and Polishing"
"Apex Anodizing, Inc. Apex Anodizing, Inc.","7116 SE 92ND AVE, PORTLAND, OR 97266","www.portlandcleanair.org/26-0189","Yes","Yes",26," Plating and Polishing"
"Bob Thomas Auto Body ","8752 NE SANDY BLVD, PORTLAND, OR 97220","www.portlandcleanair.org/26-0159","Yes","No",27," Surface Coating"
"Brasher's Auto and Truck Collision Repair ","23585 NE SANDY BLVD, WOOD VILLAGE, OR 97060","www.portlandcleanair.org/26-0161","Yes","No",27," Surface Coating"
"U-Haul Repair Center ","11711 SE 82ND AVE, PORTLAND, OR 97266","www.portlandcleanair.org/26-0164","Yes","No",27," Surface Coating"
"K W Auto Body, Inc. dba Si's Auto Body","6708 NE GLISAN, PORTLAND, OR 97213","www.portlandcleanair.org/26-0165","Yes","No",27," Surface Coating"
"Columbia Sales and Service, Inc. ","8500 N COLUMBIA BLVD, PORTLAND, OR 97203","www.portlandcleanair.org/26-0173","Yes","No",27," Surface Coating"
"Sharp Auto Body and Paint Works, Inc. ","4031 SE 26TH, PORTLAND, OR 97202","www.portlandcleanair.org/26-0174","Yes","No",27," Surface Coating"
"Gateway Body Shop, Inc. ","1418 NE 119TH AVE, PORTLAND, OR 97220","www.portlandcleanair.org/26-0175","Yes","No",27," Surface Coating"
"Tom Black's Garage ","2400 NE HOLLADAY ST, PORTLAND, OR 97232","www.portlandcleanair.org/26-0185","Yes","No",27," Surface Coating"
"East Portland Auto Body, Inc. ","9127 SE STARK ST, PORTLAND, OR 97216","www.portlandcleanair.org/26-0186","Yes","No",27," Surface Coating"
"Central Auto Body LLC dba John's Landing Auto Body","6805 SW MACADAM AVE, PORTLAND, OR 97219","www.portlandcleanair.org/26-0188","Yes","No",27," Surface Coating"
"Jose Sanchez Jose's Auto Body","10510 SE REEDWAY ST, PORTLAND, OR 97266","www.portlandcleanair.org/26-0191","Yes","No",27," Surface Coating"
"Thompson Auto Body, Inc. ","10310 SE FOSTER RD, PORTLAND, OR 97266","www.portlandcleanair.org/26-0194","Yes","No",27," Surface Coating"
"ACP Auto Body LLC ","10033 E BURNSIDE ST, PORTLAND, OR 97216","www.portlandcleanair.org/26-0196","Yes","No",27," Surface Coating"
"Express Auto Body, Inc. ","801 N LOMBARD ST, PORTLAND, OR 97217","www.portlandcleanair.org/26-0205","Yes","No",27," Surface Coating"
"Fix Auto Express Gresham ","1300 NE DIVISION ST, GRESHAM, OR 97030","www.portlandcleanair.org/26-0209","Yes","No",27," Surface Coating"
"ACME Welding, Inc. ","637 SE SALMON ST, PORTLAND, OR 97214","www.portlandcleanair.org/26-0211","Yes","No",27," Surface Coating"
"Portland Auto LLC ","10000 SE ANKENY ST, PORTLAND, OR 97216","www.portlandcleanair.org/26-0212","Yes","No",27," Surface Coating"
"Elite Collision LLC ","1925 E POWELL BLVD, GRESHAM, OR 97080","www.portlandcleanair.org/26-0216","Yes","No",27," Surface Coating"
"Quality Industrial Refinishers Co. ","901 NE GERTZ RD, PORTLAND, OR 97211","www.portlandcleanair.org/26-0217","Yes","No",27," Surface Coating"
"Vanquish Investment Group Pacific Service Center","4030 NE BUFFALO ST, PORTLAND, OR 97211","www.portlandcleanair.org/26-0219","Yes","No",27," Surface Coating"
"Horizon Air Industries ","8070 NE AIRTRANS WAY, PORTLAND, OR 97218","www.portlandcleanair.org/26-0248","Yes","No",27," Surface Coating"
"Manheim Portland Manheim","3000 N HAYDEN ISLAND DR, PORTLAND, OR 97217","www.portlandcleanair.org/26-9546","Yes","No",27," Surface Coating"
"Aarons Custom Metal Fab, Inc. ","4709 NE 148TH AVE, PORTLAND, OR 97230","www.portlandcleanair.org/26-0167","Yes","No",29," Metal Fabrication and Finishing: Small"
"Metal Enterprises, Inc. ","2425 NW 23RD PL, PORTLAND, OR 97210","www.portlandcleanair.org/26-0197","Yes","No",29," Metal Fabrication and Finishing: Small"
"EVRAZ Inc, NA ","14400 N RIVERGATE BLVD, PORTLAND, OR 97203","www.portlandcleanair.org/26-1865","Yes","Yes",31," DEQ Title V Permit"
"Owens-Brockway Glass Container Inc. ","9710 NE Glass Plant Road, PORTLAND, OR 97220","www.portlandcleanair.org/26-1876","Yes","No",31," DEQ Title V Permit"
"Arc Terminals Holdings, LLC Willbridge Asphalt Refinery","5501 NW FRONT AVE, PORTLAND, OR 97210","www.portlandcleanair.org/26-2025","Yes","No",31," DEQ Title V Permit"
"Chevron Products Company ","5531 NW DOANE AVE, PORTLAND, OR 97210","www.portlandcleanair.org/26-2027","Yes","No",31," DEQ Title V Permit"
"Kinder Morgan Liquids Terminals LLC Willbridge Terminal","5880 NW ST HELENS RD, PORTLAND, OR 97210","www.portlandcleanair.org/26-2028","Yes","No",31," DEQ Title V Permit"
"Shore Terminals LLC Nustar","9420 NW SAINT HELENS RD, PORTLAND, OR 97231","www.portlandcleanair.org/26-2029","Yes","No",31," DEQ Title V Permit"
"BP West Coast Products, LLC ","9930 NW SAINT HELENS RD, PORTLAND, OR 97231","www.portlandcleanair.org/26-2030","Yes","No",31," DEQ Title V Permit"
"Oregon Health Sciences University ","3181 SW SAM JACKSON PARK RD, PORTLAND, OR 97239","www.portlandcleanair.org/26-2050","Yes","No",31," DEQ Title V Permit"
"ESCO Corporation ","2141 NW 25TH AVE, PORTLAND, OR 97210","www.portlandcleanair.org/26-2068","Yes","Yes",31," DEQ Title V Permit"
"Daimler Trucks North America, LLC Western Star Truck Plant Portland","6936 N FATHOM ST, PORTLAND, OR 97217","www.portlandcleanair.org/26-2197","Yes","Yes",31," DEQ Title V Permit"
"Northwest Pipe Company ","12005 N BURGARD WAY, PORTLAND, OR 97203","www.portlandcleanair.org/26-2492","Yes","No",31," DEQ Title V Permit"
"Graphic Packaging International, Inc ","3400 N MARINE DR, PORTLAND, OR 97217","www.portlandcleanair.org/26-2777","Yes","Yes",31," DEQ Title V Permit"
"Gunderson LLC ","4700 NW FRONT AVE, PORTLAND, OR 97210","www.portlandcleanair.org/26-2944","Yes","No",31," DEQ Title V Permit"
"Arclin Surfaces, Inc. Portland Operations","2301 N COLUMBIA BLVD, PORTLAND, OR 97217","www.portlandcleanair.org/26-3009","Yes","Yes",31," DEQ Title V Permit"
"Owens Corning Roofing and Asphalt, LLC ","11910 NW SAINT HELENS RD, PORTLAND, OR 97231","www.portlandcleanair.org/26-3067","Yes","No",31," DEQ Title V Permit"
"Vigor Industrial, LLC ","5555 N CHANNEL AVE BLDG 71, PORTLAND, OR 97217","www.portlandcleanair.org/26-3224","Yes","No",31," DEQ Title V Permit"
"Metropolitan Service District St Johns Landfill","9363 N COLUMBIA BLVD, PORTLAND, OR 97203","www.portlandcleanair.org/26-3310","Yes","No",31," DEQ Title V Permit"
"Owens Corning Foam Insulation, LLC Owens Corning-Gresham Plant","18456 NE WILKES RD, GRESHAM, OR 97230","www.portlandcleanair.org/26-9537","Yes","No",31," DEQ Title V Permit"
"Rodda Paint Co. ","6123 N MARINE DR, PORTLAND, OR 97203","www.portlandcleanair.org/26-0026","Yes","No",32," DEQ Standard Permit"
"SemiConductor Components Industries, LLC ON Semiconductor","23400 NE GLISAN ST, GRESHAM, OR 97030","www.portlandcleanair.org/26-0027","Yes","Yes",32," DEQ Standard Permit"
"Columbia Structural Tubing Inc. Evraz Oregon Steel Structural Tubing","8735 N HARBORGATE ST, PORTLAND, OR 97203","www.portlandcleanair.org/26-0054","Yes","Yes",32," DEQ Standard Permit"
"City of Portland,Bureau of Environmental Columbia Blvd WWTP","5001 N. COLUMBIA BLVD., PORTLAND, OR 97203","www.portlandcleanair.org/26-0100","Yes","No",32," DEQ Standard Permit"
"Bushwacker, Inc. ","9269 N BRADFORD ST, PORTLAND, OR 97203","www.portlandcleanair.org/26-0123","Yes","No",32," DEQ Standard Permit"
"Waste Management of Oregon, Inc. WM Agilyx Wastech","701 N HUNT ST, PORTLAND, OR 97217","www.portlandcleanair.org/26-0170","Yes","No",32," DEQ Standard Permit"
"Troutdale Energy Center LLC Troutdale Energy Center","TROUTDALE REYNOLDS INDUSTRIAL PK LOT 3, TOUTDALE, OR 97060","www.portlandcleanair.org/26-0235","Yes","No",32," DEQ Standard Permit"
"Solenis LLC ","3366 NW YEON AVE, PORTLAND, OR 97210","www.portlandcleanair.org/26-1814","Yes","Yes",32," DEQ Standard Permit"
"Owens Corning Roofing and Asphalt, LLC Trumbull Asphalt","3750 NW YEON AVE, PORTLAND, OR 97210","www.portlandcleanair.org/26-1815","Yes","No",32," DEQ Standard Permit"
"PCC Structurals, Inc. ","4600 SE HARNEY DR, PORTLAND, OR 97206","www.portlandcleanair.org/26-1867","Yes","Yes",32," DEQ Standard Permit"
"Columbia Steel Casting Co Inc. ","10425 N BLOSS AVE, PORTLAND, OR 97203","www.portlandcleanair.org/26-1869","Yes","Yes",32," DEQ Standard Permit"
"J. R. Simplot Company Rivergate Terminal","14003 N RIVERGATE BLVD, PORTLAND, OR 97203","www.portlandcleanair.org/26-1889","Yes","No",32," DEQ Standard Permit"
"Ash Grove Cement Company ","13939 N RIVERGATE BLVD, PORTLAND, OR 97203","www.portlandcleanair.org/26-1891","Yes","Yes",32," DEQ Standard Permit"
"R. R. Donnelley Norwest, Inc. ","17401 NE HALSEY ST, PORTLAND, OR 97230","www.portlandcleanair.org/26-1892","Yes","No",32," DEQ Standard Permit"
"Herbert Malarkey Roofing Company ","3131 N COLUMBIA BLVD, PORTLAND, OR 97217","www.portlandcleanair.org/26-1894","Yes","Yes",32," DEQ Standard Permit"
"LD Commodities, Northwest Facility, LLC O'Dock - Facility","900 N THUNDERBIRD WAY, PORTLAND, OR 97227","www.portlandcleanair.org/26-2000","Yes","No",32," DEQ Standard Permit"
"Temco, LLC A Limited Liability Company of Delaware ","800 N RIVER ST., PORTLAND, OR 97227","www.portlandcleanair.org/26-2003","Yes","No",32," DEQ Standard Permit"
"Phillips 66 Company Phillips 66 Portland Terminal","5528 NW DOANE AVE, PORTLAND, OR 97210","www.portlandcleanair.org/26-2026","Yes","No",32," DEQ Standard Permit"
"CertainTeed Corporation ","6350 NW FRONT AVE, PORTLAND, OR 97210","www.portlandcleanair.org/26-2043","Yes","Yes",32," DEQ Standard Permit"
"Boeing Company (The) ","19000 NE SANDY BLVD, PORTLAND, OR 97230","www.portlandcleanair.org/26-2204","Yes","Yes",32," DEQ Standard Permit"
"Equilon Enterprises LLC dba Shell Oil Products US","3800 NW ST HELENS RD, PORTLAND, OR 97210","www.portlandcleanair.org/26-2478","Yes","No",32," DEQ Standard Permit"
"Container Management Services, LLC ","3000 NW SAINT HELENS RD, PORTLAND, OR 97210","www.portlandcleanair.org/26-2572","Yes","No",32," DEQ Standard Permit"
"Columbia Export Terminal, LLC ","15660 N LOMBARD ST, PORTLAND, OR 97203","www.portlandcleanair.org/26-2807","Yes","No",32," DEQ Standard Permit"
"Kinder Morgan Bulk Terminals, Inc. Terminal 4 - Pier 4","11040 N LOMBARD ST, PORTLAND, OR 97203","www.portlandcleanair.org/26-2909","Yes","Yes",32," DEQ Standard Permit"
"Port Of Portland Portland Intl Airport","7320 NE AIRPORT WAY, PORTLAND, OR 97218","www.portlandcleanair.org/26-2914","Yes","Yes",32," DEQ Standard Permit"
"Cenveo Corporation Graphic Arts Center","2000 NW WILSON ST, PORTLAND, OR 97209","www.portlandcleanair.org/26-2931","Yes","Yes",32," DEQ Standard Permit"
"United States Bakery Franz Bakery Portland","340 NE 11TH AVE, PORTLAND, OR 97232","www.portlandcleanair.org/26-2952","Yes","No",32," DEQ Standard Permit"
"Mondelez Global LLC ","100 NE COLUMBIA BLVD, PORTLAND, OR 97211","www.portlandcleanair.org/26-2968","Yes","Yes",32," DEQ Standard Permit"
"Siltronic Corporation ","7200 NW FRONT AVE, PORTLAND, OR 97210","www.portlandcleanair.org/26-3002","Yes","Yes",32," DEQ Standard Permit"
"American Petroleum Environmental Services, Inc. ","11535 N FORCE AVE, PORTLAND, OR 97217","www.portlandcleanair.org/26-3021","Yes","No",32," DEQ Standard Permit"
"Myers Containers, LLC ","8435 NE KILLINGSWORTH ST, PORTLAND, OR 97220","www.portlandcleanair.org/26-3035","Yes","No",32," DEQ Standard Permit"
"Cascade Corporation ","2201 NE 201ST AVE, FAIRVIEW, OR 97024","www.portlandcleanair.org/26-3038","Yes","No",32," DEQ Standard Permit"
"Oregonian Publishing Co. ","1621 SW TAYLOR, PORTLAND, OR 97205","www.portlandcleanair.org/26-3045","Yes","Yes",32," DEQ Standard Permit"
"Oil Re-Refining Company Inc. ","4150 N SUTTLE RD, PORTLAND, OR 97217","www.portlandcleanair.org/26-3048","Yes","No",32," DEQ Standard Permit"
"QG Printing II Corp. ","6031 NE 92ND DR, PORTLAND, OR 97220","www.portlandcleanair.org/26-3110","Yes","Yes",32," DEQ Standard Permit"
"Bullseye Glass Co. ","3722 SE 21ST AVE, PORTLAND, OR 97202","www.portlandcleanair.org/26-3135","Yes","No",32," DEQ Standard Permit"
"Microchip Technology, Inc. ","21015 SE STARK ST, GRESHAM, OR 97030","www.portlandcleanair.org/26-3240","Yes","Yes",32," DEQ Standard Permit"
"Sapa, Inc. ","5325 NE SKYPORT WAY, PORTLAND, OR 97218","www.portlandcleanair.org/26-3241","Yes","Yes",32," DEQ Standard Permit"
"Oregon Air National Guard ","6801 NE CORNFOOT RD, PORTLAND, OR 97218","www.portlandcleanair.org/26-3254","Yes","Yes",32," DEQ Standard Permit"
"Boeing Company Boeing PDX","4635 NE CORNFOOT RD, PORTLAND, OR 97218","www.portlandcleanair.org/26-3291","Yes","No",32," DEQ Standard Permit"
"Canron Western Constructors, Inc. ","4600 NE 138TH AVE, PORTLAND, OR 97230","www.portlandcleanair.org/26-3311","Yes","No",32," DEQ Standard Permit"
"Silver Eagle Manufacturing Co. ","5825 NE SKYPORT WAY, PORTLAND, OR 97218","www.portlandcleanair.org/26-3317","Yes","Yes",32," DEQ Standard Permit"
"CBG Portland, LLC ","6849 NE COLUMBIA BLVD, PORTLAND, OR 97218","www.portlandcleanair.org/26-9820","Yes","No",32," DEQ Standard Permit"
"Flint Group North America Flint Ink","2985 N MARINE DR, PORTLAND, OR 97217","www.portlandcleanair.org/26-0076","Yes","Yes",33," DEQ Simple Permit"
"Mutual Materials Company ","2300 SE HOGAN ROAD, GRESHAM, OR 97080","www.portlandcleanair.org/26-0088","Yes","No",33," DEQ Simple Permit"
"Journal Graphics, Inc. ","2840 NW 35TH AVE, PORTLAND, OR 97210","www.portlandcleanair.org/26-0103","Yes","Yes",33," DEQ Simple Permit"
"Pierce Pacific Manufacturing ","4424 NE 158TH AVE, PORTLAND, OR 97230","www.portlandcleanair.org/26-0143","Yes","Yes",33," DEQ Simple Permit"
"Ash Grove Cement Company Cement Distribution Ctr","3737 N PORT CENTER WAY, PORTLAND, OR 97217","www.portlandcleanair.org/26-0146","Yes","No",33," DEQ Simple Permit"
"EZFlow, Limited Partnership ","3004 N Wygant St, Portland, OR 97217","www.portlandcleanair.org/26-0157","Yes","No",33," DEQ Simple Permit"
"SoloPower, Inc. ","6308 N. MARINE DRIVE, PORTLAND, OR 97203","www.portlandcleanair.org/26-0207","Yes","No",33," DEQ Simple Permit"
"Morgan Truck Body LLC Morgan Corporation","4436 NE 158TH AVE, PORTLAND, OR 97230","www.portlandcleanair.org/26-0236","Yes","Yes",33," DEQ Simple Permit"
"Rose City Printing and Publishing, Inc. Rose City Printing and Packaging","18683 NE SANDY BLVD, GRESHAM, OR 97230","www.portlandcleanair.org/26-0238","Yes","No",33," DEQ Simple Permit"
"Glass to Glass LLC ECOI","866 N COLUMBIA BLVD, PORTLAND, OR 97217","www.portlandcleanair.org/26-0242","Yes","No",33," DEQ Simple Permit"
"Galvanizers Company ","2406 NW 30TH AVE, PORTLAND, OR 97210","www.portlandcleanair.org/26-1885","Yes","Yes",33," DEQ Simple Permit"
"Supreme Perlite Company ","4600 N SUTTLE RD, PORTLAND, OR 97217","www.portlandcleanair.org/26-2390","Yes","No",33," DEQ Simple Permit"
"Cardinal Aluminum ","6800 NE 59TH PL, PORTLAND, OR 97218","www.portlandcleanair.org/26-2435","Yes","Yes",33," DEQ Simple Permit"
"Eco Services Operations, LLC ","4429 N SUTTLE RD, PORTLAND, OR 97217","www.portlandcleanair.org/26-2548","Yes","Yes",33," DEQ Simple Permit"
"Portland State University Fourth Avenue Building","1900 SW 4th Ave, PORTLAND, OR 97201","www.portlandcleanair.org/26-2832","Yes","No",33," DEQ Simple Permit"
"Koppers, Inc. ","7540 NW ST. HELENS RD., PORTLAND, OR 97210","www.portlandcleanair.org/26-2930","Yes","No",33," DEQ Simple Permit"
"Ross Island Sand & Gravel Co. Tait Dry Mix & Redimix Plant","2611 SE 4TH AVE, PORTLAND, OR 97202","www.portlandcleanair.org/26-3006","Yes","No",33," DEQ Simple Permit"
"International Paper Company ","1601 NE 192ND AVE, PORTLAND, OR 97230","www.portlandcleanair.org/26-3051","Yes","Yes",33," DEQ Simple Permit"
"SSA Pacific, Inc. Portland BulkTerminal 5","15550 N LOMBARD ST, PORTLAND, OR 97203","www.portlandcleanair.org/26-3071","Yes","No",33," DEQ Simple Permit"
"Olympic Pipe Line Co. Portland Delivery Facilit","9420 NW ST HELENS RD, PORTLAND, OR 97231","www.portlandcleanair.org/26-3072","Yes","No",33," DEQ Simple Permit"
"RUSCO, Inc Dura Industries","4466 NW YEON AVE, PORTLAND, OR 97210","www.portlandcleanair.org/26-3112","Yes","No",33," DEQ Simple Permit"
"City Of Gresham Wastewater Treatment Plnt","20015 NE SANDY BLVD, GRESHAM, OR 97030","www.portlandcleanair.org/26-3228","Yes","No",33," DEQ Simple Permit"
"Lacamas Laboratories ","3625 N SUTTLE RD, PORTLAND, OR 97217","www.portlandcleanair.org/26-3230","Yes","Yes",33," DEQ Simple Permit"
"Hickory Springs Of California, LLC HSM Solutions","3900 NE 158TH AVE, PORTLAND, OR 97230","www.portlandcleanair.org/26-3266","Yes","No",33," DEQ Simple Permit"
"US Bancorp ","17650 NE SANDY BLVD, PORTLAND, OR 97230","www.portlandcleanair.org/26-3267","Yes","No",33," DEQ Simple Permit"
"Oldcastle Building Products Inc. Central Premix Concrete Products Inc.","1402 N RIVER ST, PORTLAND, OR 97227","www.portlandcleanair.org/26-3272","Yes","Yes",33," DEQ Simple Permit"
"Portland General Electric Company Portland Service Center","3700 SE 17TH AVE, PORTLAND, OR 97202","www.portlandcleanair.org/26-9550","Yes","Yes",33," DEQ Simple Permit"
"Signature Graphics, Inc. ","15040 NE MASON ST, PORTLAND, OR 97230","www.portlandcleanair.org/26-9554","Yes","No",33," DEQ Simple Permit"
"RB Recycling ","8501 N BORTHWICK, PORTLAND, OR 97217","www.portlandcleanair.org/26-9818","Yes","No",33," DEQ Simple Permit"
"Millbank Materials USA Ltd Tenex Management Ltd","15540 N LOMBARD ST, PORTLAND, OR 97203","www.portlandcleanair.org/26-0249","Yes","No",34," DEQ Basic Permit"
"AjinomotoWindsor, Inc. ","7124 N MARINE DR, PORTLAND, OR 97203","www.portlandcleanair.org/26-3293","Yes","Yes",34," DEQ Basic Permit"
"Harris Soup Company, an Oregon Corporation Harris Soup Company","17711 NE RIVERSIDE PKWY, PORTLAND, OR 97230","www.portlandcleanair.org/26-9534","Yes","No",34," DEQ Basic Permit"
"The Sherwin Williams Company Purdy Corporation","13201 N LOMBARD ST, PORTLAND, OR 97203","www.portlandcleanair.org/26-9542","Yes","Yes",34," DEQ Basic Permit"
"Multnomah County School Dist.1 Madison High School","2735 NE 82ND AVE, PORTLAND, OR 97220","www.portlandcleanair.org/26-9553","Yes","No",34," DEQ Basic Permit"
"East Side Plating, Inc. Plant #5","1300 SE 2ND AVE, PORTLAND, OR 97214","www.portlandcleanair.org/26-0018","Yes","Yes",2,"Other"
"Electro-Chem Metal Finishing, Inc. ","4849 SE 26TH AVE, PORTLAND, OR 97202","www.portlandcleanair.org/26-0065","Yes","Yes",5,"Other"
"East Side Plating, Inc. Plant #1, 2 and 3","8400 SE 26TH PL, PORTLAND, OR 97202","www.portlandcleanair.org/26-3036","Yes","Yes",2,"Other"
"Collision Rebuilders, Inc. ","2077 NW MARSHALL ST, PORTLAND, OR 97209","www.portlandcleanair.org/26-0192","Yes","No",40,"Other"
"Mr. Formal, Inc. ","1205 SE GRAND AVE, PORTLAND, OR 97214","www.portlandcleanair.org/26-0204","Yes","No",40,"Other"
"Rogers Northwest, Inc. ","21455 SW 120TH AVE, SHERWOOD, OR 97140","www.portlandcleanair.org/34-2636","Yes","No",7," Asphalt Plants"
"Baker Rock Resources ","21880 SW FARMINGTON RD, BEAVERTON, OR 97007","www.portlandcleanair.org/34-2637","Yes","Yes",7," Asphalt Plants"
"Van Doren Red-E-Mix, Inc. ","1910 26TH AVE, FOREST GROVE, OR 97116","www.portlandcleanair.org/34-2034","Yes","No",9," Ready-Mix/Concrete Plants"
"Pacific Rock Products, LLC Tualatin Plant","18610 SW PACIFIC DR., SHERWOOD, OR 97140","www.portlandcleanair.org/34-2583","Yes","No",9," Ready-Mix/Concrete Plants"
"Wilsonville Concrete Products Beaverton Site","6700 SW 110TH AVE, BEAVERTON, OR 97008","www.portlandcleanair.org/34-2640","Yes","No",9," Ready-Mix/Concrete Plants"
"Baker Rock Resources ","21880 SW FARMINGTON RD, BEAVERTON, OR 97007","www.portlandcleanair.org/34-2737","Yes","Yes",9," Ready-Mix/Concrete Plants"
"Glacier Northwest, Inc. Hillsboro Readymix","21480 NW AMBERWOOD DR, HILLSBORO, OR 97124","www.portlandcleanair.org/34-2769","Yes","No",9," Ready-Mix/Concrete Plants"
"Helser Industries, Inc. ","10750 SW TUALATIN RD, TUALATIN, OR 97062","www.portlandcleanair.org/34-0003","Yes","No",25," Metal Fabrication and Finishing: Large"
"McClister, Inc. Lifetime Gate Co.","18155 SW TETON AVE, TUALATIN, OR 97062","www.portlandcleanair.org/34-0102","Yes","No",25," Metal Fabrication and Finishing: Large"
"Ammcon Corp. ","21450 NW WEST UNION RD, HILLSBORO, OR 97124","www.portlandcleanair.org/34-0113","Yes","No",25," Metal Fabrication and Finishing: Large"
"Jewell Attachments, LLC ","18135 SW BOONES FERRY RD, TUALATIN, OR 97224","www.portlandcleanair.org/34-0130","Yes","No",25," Metal Fabrication and Finishing: Large"
"Westak of Oregon, Inc. Westak of Oregon","3941 24TH AVE, FOREST GROVE, OR 97116","www.portlandcleanair.org/34-0097","Yes","Yes",26," Plating and Polishing"
"Pioneer Metal Finishing Superior Metal Finishing","18240 SW 100TH CT, TUALATIN, OR 97062","www.portlandcleanair.org/34-0099","Yes","Yes",26," Plating and Polishing"
