"Company","Address","More Info URL","Has DEQ Permit","Has Onsite Storage of Chemicals","DEQ General Permit Type","DEQ General Permit Type Description"
"U.S. Dept. Of Veterans Affairs ","3710 SW US VETERANS HOSPITAL RD, PORTLAND, OR 97239","www.portlandcleanair.org/26-2955","Yes","No",11,"Other"
"Alpenrose Dairy, Inc. ","6149 SW SHATTUCK RD, PORTLAND, OR 97221","www.portlandcleanair.org/26-2771","Yes","Yes",11,"Other"
"Fox Lumber Sales, Inc. Fox Lumber - Gaston Operations","49800 SW SCOGGINS VALLEY RD, GASTON, OR 97119","www.portlandcleanair.org/34-0104","Yes","No",10," Sawmills"
"Banks Lumber Co. ","42060 NW SUNSET AVE, BANKS, OR 97106","www.portlandcleanair.org/34-2565","Yes","No",10," Sawmills"
"Woodfold Mfg., Inc. ","1811 18TH ST, FOREST GROVE, OR 97116","www.portlandcleanair.org/34-2584","Yes","No",10," Sawmills"
"Oregon-Canadian Forest Products, Inc. ","31450 NW COMMERCIAL AVE, NORTH PLAINS, OR 97133","www.portlandcleanair.org/34-2688","Yes","No",10," Sawmills"
"Suburban Door Co., Inc. ","12365 SW HERMAN RD, TUALATIN, OR 97062","www.portlandcleanair.org/34-2792","Yes","Yes",10," Sawmills"
"Peterkort Roses, L.L.C. ","11815 SW HILLSBORO HWY, HILLSBORO, OR 97123","www.portlandcleanair.org/34-0001","Yes","No",11," Boilers"
"Providence St. Vincent Medical Center ","9205 SW BARNES RD, PORTLAND, OR 97225","www.portlandcleanair.org/34-2585","Yes","Yes",11," Boilers"
"Portland Community College Rock Creek Campus","17705 NW SPRINGVILLE RD, PORTLAND, OR 97229","www.portlandcleanair.org/34-2639","Yes","Yes",11," Boilers"
"Oregon Roses, Inc. Plant F","1804 NW MARTIN RD, FOREST GROVE, OR 97116","www.portlandcleanair.org/34-2641","Yes","No",11," Boilers"
"Tuality Community Hospital ","335 SE 8TH AVE, HILLSBORO, OR 97123","www.portlandcleanair.org/34-2759","Yes","No",11," Boilers"
"Cascade Funeral Directors ","8974 SW TUALATIN SHERWOOD RD, TUALATIN, OR 97062","www.portlandcleanair.org/34-0048","Yes","No",12," Crematories"
"Springer & Son, Inc. Aloha Funeral Home","4150 SW 185TH AVE, ALOHA, OR 97007","www.portlandcleanair.org/34-0070","Yes","No",12," Crematories"
"Finley-Sunset Hills Mortuary Sunset Hills Mortuary","6801 SW SUNSET HWY, PORTLAND, OR 97225","www.portlandcleanair.org/34-0090","Yes","No",12," Crematories"
"Washington County Dog Control ","1901 SE 24th Ave, HILLSBORO, OR 97123","www.portlandcleanair.org/34-2630","Yes","No",12," Crematories"
"Fulton, Rose & Hoyt Funeral Home ","2308 PACIFIC AVE, FOREST GROVE, OR 97116","www.portlandcleanair.org/34-9691","Yes","No",12," Crematories"
"Jewett-Cameron Seed Company ","31345 NW BEACH RD, HILLSBORO, OR 97124","www.portlandcleanair.org/34-2510","Yes","No",15," Seed Cleaning"
"Tata Communications (US) Inc. ","21101 NW EVERGREEN PKWY, HILLSBORO, OR 97124","www.portlandcleanair.org/34-0022","Yes","No",18," Electric Power Generators "
"TriQuint Semiconductor, Inc. Electric Generator","2300 NE BROOKWOOD PKWY, HILLSBORO, OR 97124","www.portlandcleanair.org/34-0080","Yes","Yes",18," Electric Power Generators "
"Viawest , Inc. ","3935 NE ALOCLEK PL., HILLSBORO, OR 97124","www.portlandcleanair.org/34-0083","Yes","No",18," Electric Power Generators "
"Clean Water Services Dawson Creek Pump Station","SW CORNER OF NE CORNELL & BROOKWOOD PKWY, HILLSBORO, OR 97124","www.portlandcleanair.org/34-0096","Yes","No",18," Electric Power Generators "
"Kaiser Foundation Health Plan of the Northwest dba Kaiser Permanente Kaiser Westside Medical Center","19301 NW VENETIAN DR, HILLSBORO, OR 97124","www.portlandcleanair.org/34-0133","Yes","Yes",18," Electric Power Generators "
"Clean Water Services ","9835 NW 307TH AVE, NORTH PLAINS, OR 97133","www.portlandcleanair.org/34-0139","Yes","No",18," Electric Power Generators "
"City of Hillsboro Water Dept","30575 NW EVERGREEN RD, HILLSBORO, OR 97124","www.portlandcleanair.org/34-0142","Yes","No",18," Electric Power Generators "
"City of Hillsboro Hillsboro WWTP","4475 SW FERN HILL RD, FOREST GROVE, OR 97116","www.portlandcleanair.org/34-0164","Yes","No",18," Electric Power Generators "
"ViaWest, Inc. ","23605 NW HUFFMAN ST, HILLSBORO, OR 97124","www.portlandcleanair.org/34-0165","Yes","No",18," Electric Power Generators "
"SolarWorld Industries America LP ","25300 NW EVERGREEN BLVD, HILLSBORO, OR 97214","www.portlandcleanair.org/34-9508","Yes","No",18," Electric Power Generators "
"Tarr Acquisition, LLC ","601 BASELINE ST, CORNELIUS, OR 97113","www.portlandcleanair.org/34-0049","Yes","No",17," Bulk Gasoline Plants"
"Bretthauer Oil Company ","453 SW WASHINGTON ST, HILLSBORO, OR 97123","www.portlandcleanair.org/34-0065","Yes","No",17," Bulk Gasoline Plants"
"Bretthauer Oil Company ","6800 SW 110TH AVE, BEAVERTON, OR 97005","www.portlandcleanair.org/34-2651","Yes","No",17," Bulk Gasoline Plants"
