"","company.source.no","filename","st.addr","city.addr","zip.addr","facility.name","cas_code","cas_name","unit_a","unit_b","unit_c","total_data_a","total_data_b","total_data_c"
"12","01-0038","010038Nort","7.5 Miles NW of Baker City to Chandler Lane","Baker City","97814","Baker Compressor Station"," 110-54-3"," hexane"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",1.26e-05,0.000101178,0.0001512
"13","01-0038","010038Nort","7.5 Miles NW of Baker City to Chandler Lane","Baker City","97814","Baker Compressor Station"," 120-12-7"," anthracene"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",2.8720048e-06,2.3062198544e-05,3.44640576e-05
"14","01-0038","010038Nort","7.5 Miles NW of Baker City to Chandler Lane","Baker City","97814","Baker Compressor Station"," 129-00-0"," pyrene"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",3.5e-11,2.8105e-10,4.2e-10
"15","01-0038","010038Nort","7.5 Miles NW of Baker City to Chandler Lane","Baker City","97814","Baker Compressor Station"," 1330-20-7"," xylenes (mixed) including:"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",0.001267,0.01017401,0.015204
"16","01-0038","010038Nort","7.5 Miles NW of Baker City to Chandler Lane","Baker City","97814","Baker Compressor Station"," 191-24-2"," benzo[g,h,i]perylene"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",9.92024e-08,7.96595272e-07,1.1904288e-06
"17","01-0038","010038Nort","7.5 Miles NW of Baker City to Chandler Lane","Baker City","97814","Baker Compressor Station"," 192-97-2"," benzo[e]pyrene"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",9.36e-08,7.51608e-07,1.1232e-06
"18","01-0038","010038Nort","7.5 Miles NW of Baker City to Chandler Lane","Baker City","97814","Baker Compressor Station"," 193-39-5"," indeno[1,2,3-cd]pyrene"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",3.97236e-08,3.18980508e-07,4.766832e-07
"19","01-0038","010038Nort","7.5 Miles NW of Baker City to Chandler Lane","Baker City","97814","Baker Compressor Station"," 198-55-0"," perylene"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",1.988e-08,1.596364e-07,2.3856e-07
"20","01-0038","010038Nort","7.5 Miles NW of Baker City to Chandler Lane","Baker City","97814","Baker Compressor Station"," 205-82-3"," benzo[j]fluoranthene"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",1.704e-08,1.368312e-07,2.0448e-07
"21","01-0038","010038Nort","7.5 Miles NW of Baker City to Chandler Lane","Baker City","97814","Baker Compressor Station"," 205-99-2"," benzo[b]fluoranthene"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",3.40436e-08,2.73370108e-07,4.085232e-07
"22","01-0038","010038Nort","7.5 Miles NW of Baker City to Chandler Lane","Baker City","97814","Baker Compressor Station"," 206-44-0"," fluoranthene"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",1.444006e-06,1.159536818e-05,1.7328072e-05
"23","01-0038","010038Nort","7.5 Miles NW of Baker City to Chandler Lane","Baker City","97814","Baker Compressor Station"," 207-08-9"," benzo[k]fluoranthene"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",3.6e-12,2.8908e-11,4.32e-11
"24","01-0038","010038Nort","7.5 Miles NW of Baker City to Chandler Lane","Baker City","97814","Baker Compressor Station"," 208-96-8"," acenaphthylene"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",1.26800036e-05,0.000101820428908,0.0001521600432
"25","01-0038","010038Nort","7.5 Miles NW of Baker City to Chandler Lane","Baker City","97814","Baker Compressor Station"," 218-01-9"," chrysene"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",2.6880036e-06,2.1584668908e-05,3.22560432e-05
"26","01-0038","010038Nort","7.5 Miles NW of Baker City to Chandler Lane","Baker City","97814","Baker Compressor Station"," 25321-22-6"," dichlorobenzenes (mixed isomers) including:"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",2.4e-09,1.9272e-08,2.88e-08
"27","01-0038","010038Nort","7.5 Miles NW of Baker City to Chandler Lane","Baker City","97814","Baker Compressor Station"," 50-00-0"," formaldehyde"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",0.24130015,1.9376402045,2.8956018
"28","01-0038","010038Nort","7.5 Miles NW of Baker City to Chandler Lane","Baker City","97814","Baker Compressor Station"," 50-32-8"," benzo[a]pyrene"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",2.27224e-08,1.82460872e-07,2.726688e-07
"29","01-0038","010038Nort","7.5 Miles NW of Baker City to Chandler Lane","Baker City","97814","Baker Compressor Station"," 526-73-8"," 1,2,3-trimethylbenzene"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",0.0001416,0.001137048,0.0016992
"30","01-0038","010038Nort","7.5 Miles NW of Baker City to Chandler Lane","Baker City","97814","Baker Compressor Station"," 53-70-3"," dibenz[a,h]anthracene"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",2.4e-12,1.9272e-11,2.88e-11
"31","01-0038","010038Nort","7.5 Miles NW of Baker City to Chandler Lane","Baker City","97814","Baker Compressor Station"," 540-84-1"," 2,2,4-trimethylpentane"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",0.003384,0.02717352,0.040608
"32","01-0038","010038Nort","7.5 Miles NW of Baker City to Chandler Lane","Baker City","97814","Baker Compressor Station"," 542-75-6"," 1,3-dichloropropene"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",0.0001879,0.001508837,0.0022548
"33","01-0038","010038Nort","7.5 Miles NW of Baker City to Chandler Lane","Baker City","97814","Baker Compressor Station"," 56-23-5"," carbon tetrachloride"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",0.0002605,0.002091815,0.003126
"34","01-0038","010038Nort","7.5 Miles NW of Baker City to Chandler Lane","Baker City","97814","Baker Compressor Station"," 56-49-5"," 3-methylcholanthrene"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",3.6e-12,2.8908e-11,4.32e-11
"35","01-0038","010038Nort","7.5 Miles NW of Baker City to Chandler Lane","Baker City","97814","Baker Compressor Station"," 56-55-3"," benz[a]anthracene"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",1.3440036e-06,1.0792348908e-05,1.61280432e-05
"36","01-0038","010038Nort","7.5 Miles NW of Baker City to Chandler Lane","Baker City","97814","Baker Compressor Station"," 57-97-6"," 7,12-dimethylbenz[a]anthracene"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",3.2e-11,2.5696e-10,3.84e-10
"37","01-0038","010038Nort","7.5 Miles NW of Baker City to Chandler Lane","Baker City","97814","Baker Compressor Station"," 67-56-1"," methanol"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",0.01298,0.1042294,0.15576
"38","01-0038","010038Nort","7.5 Miles NW of Baker City to Chandler Lane","Baker City","97814","Baker Compressor Station"," 67-66-3"," chloroform"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",0.0002021,0.001622863,0.0024252
"39","01-0038","010038Nort","7.5 Miles NW of Baker City to Chandler Lane","Baker City","97814","Baker Compressor Station"," 71-43-2"," benzene"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",0.0093400042,0.075000233726,0.1120800504
"40","01-0038","010038Nort","7.5 Miles NW of Baker City to Chandler Lane","Baker City","97814","Baker Compressor Station"," 7439-92-1"," lead"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",1e-09,8.03e-09,1.2e-08
"41","01-0038","010038Nort","7.5 Miles NW of Baker City to Chandler Lane","Baker City","97814","Baker Compressor Station"," 7439-96-5"," manganese"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",7.6e-10,6.1028e-09,9.12e-09
"42","01-0038","010038Nort","7.5 Miles NW of Baker City to Chandler Lane","Baker City","97814","Baker Compressor Station"," 7439-97-6"," mercury"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",5.2e-10,4.1756e-09,6.24e-09
"43","01-0038","010038Nort","7.5 Miles NW of Baker City to Chandler Lane","Baker City","97814","Baker Compressor Station"," 7440-02-0"," nickel"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",4.2e-09,3.3726e-08,5.04e-08
"44","01-0038","010038Nort","7.5 Miles NW of Baker City to Chandler Lane","Baker City","97814","Baker Compressor Station"," 7440-38-2"," arsenic"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",4e-10,3.212e-09,4.8e-09
"45","01-0038","010038Nort","7.5 Miles NW of Baker City to Chandler Lane","Baker City","97814","Baker Compressor Station"," 7440-39-3"," barium"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",8.8e-09,7.0664e-08,1.056e-07
"46","01-0038","010038Nort","7.5 Miles NW of Baker City to Chandler Lane","Baker City","97814","Baker Compressor Station"," 7440-41-7"," beryllium"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",2.4e-11,1.9272e-10,2.88e-10
"47","01-0038","010038Nort","7.5 Miles NW of Baker City to Chandler Lane","Baker City","97814","Baker Compressor Station"," 7440-43-9"," cadmium"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",2.2e-09,1.7666e-08,2.64e-08
"48","01-0038","010038Nort","7.5 Miles NW of Baker City to Chandler Lane","Baker City","97814","Baker Compressor Station"," 7440-47-3"," chromium (not vi)"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",2.8e-09,2.2484e-08,3.36e-08
"49","01-0038","010038Nort","7.5 Miles NW of Baker City to Chandler Lane","Baker City","97814","Baker Compressor Station"," 7440-48-4"," cobalt"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",1.68e-10,1.34904e-09,2.016e-09
"50","01-0038","010038Nort","7.5 Miles NW of Baker City to Chandler Lane","Baker City","97814","Baker Compressor Station"," 7440-50-8"," copper and compounds"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",5.95e-09,4.77785e-08,7.14e-08
"51","01-0038","010038Nort","7.5 Miles NW of Baker City to Chandler Lane","Baker City","97814","Baker Compressor Station"," 7440-66-6"," zinc"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",5.8e-08,4.6574e-07,6.96e-07
"52","01-0038","010038Nort","7.5 Miles NW of Baker City to Chandler Lane","Baker City","97814","Baker Compressor Station"," 75-01-4"," vinyl chloride"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",0.00010598,0.0008510194,0.00127176
"53","01-0038","010038Nort","7.5 Miles NW of Baker City to Chandler Lane","Baker City","97814","Baker Compressor Station"," 75-07-0"," acetaldehyde"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",0.03383,0.2716549,0.40596
"54","01-0038","010038Nort","7.5 Miles NW of Baker City to Chandler Lane","Baker City","97814","Baker Compressor Station"," 75-09-2"," methylene chloride"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",0.0006292,0.005052476,0.0075504
"55","01-0038","010038Nort","7.5 Miles NW of Baker City to Chandler Lane","Baker City","97814","Baker Compressor Station"," 75-34-3"," 1,1-dichloroethane"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",0.0001677,0.001346631,0.0020124
"56","01-0038","010038Nort","7.5 Miles NW of Baker City to Chandler Lane","Baker City","97814","Baker Compressor Station"," 7782-49-2"," selenium"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",4.8e-11,3.8544e-10,5.76e-10
"57","01-0038","010038Nort","7.5 Miles NW of Baker City to Chandler Lane","Baker City","97814","Baker Compressor Station"," 78-87-5"," 1,2-dichloropropane"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",0.0001914,0.001536942,0.0022968
"58","01-0038","010038Nort","7.5 Miles NW of Baker City to Chandler Lane","Baker City","97814","Baker Compressor Station"," 79-00-5"," 1,1,2-trichloroethane"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",0.0002261,0.001815583,0.0027132
"59","01-0038","010038Nort","7.5 Miles NW of Baker City to Chandler Lane","Baker City","97814","Baker Compressor Station"," 79-34-5"," 1,1,2,2-tetrachloroethane"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",0.0003411,0.002739033,0.0040932
"60","01-0038","010038Nort","7.5 Miles NW of Baker City to Chandler Lane","Baker City","97814","Baker Compressor Station"," 83-32-9"," acenaphthene"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",5.3200036e-06,4.2719628908e-05,6.38400432e-05
"61","01-0038","010038Nort","7.5 Miles NW of Baker City to Chandler Lane","Baker City","97814","Baker Compressor Station"," 85-01-8"," phenanthrene"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",1.4120034e-05,0.00011338387302,0.000169440408
"62","01-0038","010038Nort","7.5 Miles NW of Baker City to Chandler Lane","Baker City","97814","Baker Compressor Station"," 86-73-7"," fluorene"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",6.7600056e-06,5.4282844968e-05,8.11200672e-05
"63","01-0038","010038Nort","7.5 Miles NW of Baker City to Chandler Lane","Baker City","97814","Baker Compressor Station"," 91-20-3"," naphthalene"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",0.00048230122,0.0038728787966,0.00578761464
"64","01-0038","010038Nort","7.5 Miles NW of Baker City to Chandler Lane","Baker City","97814","Baker Compressor Station"," 91-57-6"," 2-methyl naphthalene"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",8.5600048e-05,0.00068736838544,0.001027200576
"65","01-0038","010038Nort","7.5 Miles NW of Baker City to Chandler Lane","Baker City","97814","Baker Compressor Station"," 92-52-4"," biphenyl"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",1.975e-05,0.0001585925,0.000237
"66","01-0038","010038Nort","7.5 Miles NW of Baker City to Chandler Lane","Baker City","97814","Baker Compressor Station"," 95-63-6"," 1,2,4-trimethylbenzene"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",0.000444,0.00356532,0.005328
"67","02-0005","02-0005_HP","1070 NE CIRCLE BLVD","CORVALLIS","97330","HP Inc"," 107-21-1"," ethylene glycol"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",1,140.08,154.088
"68","02-2173","02-2173_Ho","1551 SE Crystal Lake Drive (Plant 1); 1220 SE Crystal Lake Drive (Plant 2)","Corvallis","97339","Hollingsworth & Vose Fiber Company"," 100-41-4"," ethyl benzene"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",0.0095,0,0
"69","02-2173","02-2173_Ho","1551 SE Crystal Lake Drive (Plant 1); 1220 SE Crystal Lake Drive (Plant 2)","Corvallis","97339","Hollingsworth & Vose Fiber Company"," 107-02-8"," acrolein"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",0.0027,1.81322457572844,0
"70","02-2173","02-2173_Ho","1551 SE Crystal Lake Drive (Plant 1); 1220 SE Crystal Lake Drive (Plant 2)","Corvallis","97339","Hollingsworth & Vose Fiber Company"," 108-88-3"," toluene"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",0.0366,0,0
"71","02-2173","02-2173_Ho","1551 SE Crystal Lake Drive (Plant 1); 1220 SE Crystal Lake Drive (Plant 2)","Corvallis","97339","Hollingsworth & Vose Fiber Company"," 110-54-3"," hexane"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",0.0063,0,0
"72","02-2173","02-2173_Ho","1551 SE Crystal Lake Drive (Plant 1); 1220 SE Crystal Lake Drive (Plant 2)","Corvallis","97339","Hollingsworth & Vose Fiber Company"," 115-07-1"," propylene"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",0.731,0,0
"73","02-2173","02-2173_Ho","1551 SE Crystal Lake Drive (Plant 1); 1220 SE Crystal Lake Drive (Plant 2)","Corvallis","97339","Hollingsworth & Vose Fiber Company"," 129-00-0"," pyrene"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",5e-06,0.003357823288386,0
"74","02-2173","02-2173_Ho","1551 SE Crystal Lake Drive (Plant 1); 1220 SE Crystal Lake Drive (Plant 2)","Corvallis","97339","Hollingsworth & Vose Fiber Company"," 1330-20-7"," xylenes (mixed) including:"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",0.0272,0,0
"75","02-2173","02-2173_Ho","1551 SE Crystal Lake Drive (Plant 1); 1220 SE Crystal Lake Drive (Plant 2)","Corvallis","97339","Hollingsworth & Vose Fiber Company"," 206-44-0"," fluoranthene"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",3e-06,0.0020146939730316,0
"76","02-2173","02-2173_Ho","1551 SE Crystal Lake Drive (Plant 1); 1220 SE Crystal Lake Drive (Plant 2)","Corvallis","97339","Hollingsworth & Vose Fiber Company"," 25321-22-6"," dichlorobenzenes (mixed isomers) including:"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",0.0012,0.80587758921264,0
"77","02-2173","02-2173_Ho","1551 SE Crystal Lake Drive (Plant 1); 1220 SE Crystal Lake Drive (Plant 2)","Corvallis","97339","Hollingsworth & Vose Fiber Company"," 50-00-0"," formaldehyde"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",0.017,0,0
"78","02-2173","02-2173_Ho","1551 SE Crystal Lake Drive (Plant 1); 1220 SE Crystal Lake Drive (Plant 2)","Corvallis","97339","Hollingsworth & Vose Fiber Company"," 71-43-2"," benzene"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",0.008,0,0
"79","02-2173","02-2173_Ho","1551 SE Crystal Lake Drive (Plant 1); 1220 SE Crystal Lake Drive (Plant 2)","Corvallis","97339","Hollingsworth & Vose Fiber Company"," 7439-92-1"," lead"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",5e-04,0,0
"80","02-2173","02-2173_Ho","1551 SE Crystal Lake Drive (Plant 1); 1220 SE Crystal Lake Drive (Plant 2)","Corvallis","97339","Hollingsworth & Vose Fiber Company"," 7440-39-3"," barium"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",0.0044,0,0
"81","02-2173","02-2173_Ho","1551 SE Crystal Lake Drive (Plant 1); 1220 SE Crystal Lake Drive (Plant 2)","Corvallis","97339","Hollingsworth & Vose Fiber Company"," 7440-50-8"," copper and compounds"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",0.00085,0,0
"82","02-2173","02-2173_Ho","1551 SE Crystal Lake Drive (Plant 1); 1220 SE Crystal Lake Drive (Plant 2)","Corvallis","97339","Hollingsworth & Vose Fiber Company"," 7440-62-2"," vanadium (fume or dust)"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",0.0023,1.54459871265756,0
"83","02-2173","02-2173_Ho","1551 SE Crystal Lake Drive (Plant 1); 1220 SE Crystal Lake Drive (Plant 2)","Corvallis","97339","Hollingsworth & Vose Fiber Company"," 7440-66-6"," zinc"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",0.029,0,0
"84","02-2173","02-2173_Ho","1551 SE Crystal Lake Drive (Plant 1); 1220 SE Crystal Lake Drive (Plant 2)","Corvallis","97339","Hollingsworth & Vose Fiber Company"," 75-07-0"," acetaldehyde"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",0.0043,2.88772802801196,0
"85","02-2173","02-2173_Ho","1551 SE Crystal Lake Drive (Plant 1); 1220 SE Crystal Lake Drive (Plant 2)","Corvallis","97339","Hollingsworth & Vose Fiber Company"," 85-01-8"," phenanthrene"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",1.7e-05,0.0114165991805124,0
"86","02-2173","02-2173_Ho","1551 SE Crystal Lake Drive (Plant 1); 1220 SE Crystal Lake Drive (Plant 2)","Corvallis","97339","Hollingsworth & Vose Fiber Company"," 86-73-7"," fluorene"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",2.8e-06,0.00188038104149616,0
"87","02-2173","02-2173_Ho","1551 SE Crystal Lake Drive (Plant 1); 1220 SE Crystal Lake Drive (Plant 2)","Corvallis","97339","Hollingsworth & Vose Fiber Company"," 91-20-3"," naphthalene"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",3e-04,0.20146939730316,0
"88","02-2173","02-2173_Ho","1551 SE Crystal Lake Drive (Plant 1); 1220 SE Crystal Lake Drive (Plant 2)","Corvallis","97339","Hollingsworth & Vose Fiber Company"," 91-57-6"," 2-methyl naphthalene"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",2.4e-05,0.0161175517842528,0
"89","02-2298","022298Oreg","3015 SW Western Blvd","Corvallis","97331","Oregon State University"," 100-41-4"," ethyl benzene"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",9.624e-08,19.39976028864,21.2163816
"90","02-2298","022298Oreg","3015 SW Western Blvd","Corvallis","97331","Oregon State University"," 106-99-0"," 1,3-butadiene"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",7.6553386e-06,0.7794156041786,0.83524
"91","02-2298","022298Oreg","3015 SW Western Blvd","Corvallis","97331","Oregon State University"," 107-02-8"," acrolein"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",1.3959348e-05,5.248532694268,5.693248
"92","02-2298","022298Oreg","3015 SW Western Blvd","Corvallis","97331","Oregon State University"," 108-88-3"," toluene"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",0.0001022494,89.843106411,98.077898
"93","02-2298","022298Oreg","3015 SW Western Blvd","Corvallis","97331","Oregon State University"," 110-54-3"," hexane"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",3.6e-06,139.1392818,162.396
"94","02-2298","022298Oreg","3015 SW Western Blvd","Corvallis","97331","Oregon State University"," 115-07-1"," propylene"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",0.00074662,87.45457414,94.062
"95","02-2298","022298Oreg","3015 SW Western Blvd","Corvallis","97331","Oregon State University"," 120-12-7"," anthracene"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",4.321248e-07,0.0483720860924,0.051862348
"96","02-2298","022298Oreg","3015 SW Western Blvd","Corvallis","97331","Oregon State University"," 129-00-0"," pyrene"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",1.18437e-06,0.134404290425,0.1442721
"97","02-2298","022298Oreg","3015 SW Western Blvd","Corvallis","97331","Oregon State University"," 1330-20-7"," xylenes (mixed) including:"," ef (lb/unit)"," 2016 emissions (lbs/yr)"," pmy emissions (lbs/yr)",6.650728e-05,46.24963437628,50.41755
