"","Source.Number","Source.Name","Site.Address","City,.State.Zip","Operating.Status","SIC.Codes","NAICS.Codes","X8","Permit.Number","DEQ.Permit.and.Review","addr","in_deq_permits","FacilityID","FacilityName","BusinessType","NAICS1","NAICSDesc1","NAICS2","NAICSDesc2","ChemicalID","ChemName","HazardousIngredient","AvgAmt","MaxAmt","UnitDesc","StorageType1","HazClass1Desc","HazClass2Desc","in_chem_storage_data","addr_id","key"
"11","26-1764","K F Jacobsen & Co., Inc. ","1208 N RIVER ST","PORTLAND, OR 97227",NA,"2951, 1442","324121, 212321","7","26-1764-07-01","www.portlandcleanair.org/26-1764","1208 N RIVER ST, PORTLAND, OR 97227",1,4701,"ROSS ISLAND SAND & GRAVEL CO","CONCRETE",327390,"OTHER CONCRETE PRODUCT MFG",0,"",38546,"SLAG CEMENT","CALCIUM OXIDE","50,000-99,999","50,000-99,999","POUNDS","SILO","Acute Health Hazard","Chronic Health Hazard",1,129,"26-1764"
"12","26-1764","K F Jacobsen & Co., Inc. ","1208 N RIVER ST","PORTLAND, OR 97227",NA,"2951, 1442","324121, 212321","7","26-1764-07-01","www.portlandcleanair.org/26-1764","1208 N RIVER ST, PORTLAND, OR 97227",1,4701,"ROSS ISLAND SAND & GRAVEL CO","CONCRETE",327390,"OTHER CONCRETE PRODUCT MFG",0,"",6230,"CEMENT","PORTLAND CEMENT","100,000-249,999","100,000-249,999","POUNDS","SILO","Acute Health Hazard","Chronic Health Hazard",1,129,"26-1764"
"13","26-1764","K F Jacobsen & Co., Inc. ","1208 N RIVER ST","PORTLAND, OR 97227",NA,"2951, 1442","324121, 212321","7","26-1764-07-01","www.portlandcleanair.org/26-1764","1208 N RIVER ST, PORTLAND, OR 97227",1,4701,"ROSS ISLAND SAND & GRAVEL CO","CONCRETE",327390,"OTHER CONCRETE PRODUCT MFG",0,"",8932,"DELVO STABILIZER","PHOSPHONIC ACID ((NITRILOTRIS(METHYLENE","200-499","500-999","GALLONS","PLASTIC OR NON-METALLIC DRUM","Acute Health Hazard","",1,129,"26-1764"
"14","26-1767","Porter W. Yett Company ","5949 NE CULLY BLVD","PORTLAND, OR 97218-3354",NA,"1442, 2951","212321, 324121","7","26-1767-07-01","www.portlandcleanair.org/26-1767","5949 NE CULLY BLVD, PORTLAND, OR 97218",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,890,"26-1767"
"15","26-3242","Lakeside Industries Front Avenue Fac.","4850 NW FRONT AVE","PORTLAND, OR 97240",NA,"2951","324121","7","26-3242-07-01","www.portlandcleanair.org/26-3242","4850 NW FRONT AVE, PORTLAND, OR 97240",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,798,"26-3242"
"16","26-3305","Lakeside Industries, Inc. 100th Ave-Foster  Road Asphalt Plant","6637 SE 100TH AVE","PORTLAND, OR 97266-5132",NA,"2951","324121","7","26-3305-07-01","www.portlandcleanair.org/26-3305","6637 SE 100TH AVE, PORTLAND, OR 97266",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,930,"26-3305"
"17","26-0086","Environmentally Conscious Recycling, Inc ","12409 NE SAN RAFAEL ST","PORTLAND, OR 97230-1818",NA,"1442","212321","8","26-0086-08-01","www.portlandcleanair.org/26-0086","12409 NE SAN RAFAEL ST, PORTLAND, OR 97230",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151,"26-0086"
"18","26-0109","Lakeside Industries Front Avenue","4850 NW FRONT AVE","PORTLAND, OR 97240",NA,"1442","212321","8","26-0109-08-01","www.portlandcleanair.org/26-0109","4850 NW FRONT AVE, PORTLAND, OR 97240",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,798,"26-0109"
"19","26-0110","Porter W. Yett Company ","5949 NE CULLY BLVD","PORTLAND, OR 97218-3354",NA,"1442","212321","8","26-0110-08-01","www.portlandcleanair.org/26-0110","5949 NE CULLY BLVD, PORTLAND, OR 97218",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,890,"26-0110"
"20","26-0129","Morse Bros., Inc. dba Knife River Knife River Gresham Crusher","1339 NE EASTWOOD","GRESHAM, OR 97030",NA,"1442","212321","8","26-0129-08-01","www.portlandcleanair.org/26-0129","1339 NE EASTWOOD, GRESHAM, OR 97030",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,188,"26-0129"
"21","26-1917","Portland Sand & Gravel Company ","10717 SE DIVISION ST","PORTLAND, OR 97266",NA,"1442","212321","8","26-1917-08-01","www.portlandcleanair.org/26-1917","10717 SE DIVISION ST, PORTLAND, OR 97266",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,"26-1917"
"22","26-1941","Ross Island Sand & Gravel Co. Hardtack Island","HARDTACK ISLAND - WILLAMETTE RIVER","PORTLAND, OR 972HH",NA,"1442","212321","8","26-1941-08-01","www.portlandcleanair.org/26-1941","HARDTACK ISLAND - WILLAMETTE RIVER, PORTLAND, OR 972HH",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1156,"26-1941"
"23","26-0052","Brooks Products Newcastle Precast","10404 NE MARX ST","PORTLAND, OR 97220",NA,"3272","327999","9","26-0052-09-01","www.portlandcleanair.org/26-0052","10404 NE MARX ST, PORTLAND, OR 97220",1,71131,"BROOKS PRODUCTS LLC","MFG PRECAST CONCRETE PRODUCTS",327999,"ALL OTHER MISC NONMTLLIC MINERAL PRODUCT M",0,"",22836,"PORTLAND CEMENT","PORTLAND CEMENT","10,000-49,999","10,000-49,999","POUNDS","SILO","Acute Health Hazard","Chronic Health Hazard",1,37,"26-0052"
"24","26-0052","Brooks Products Newcastle Precast","10404 NE MARX ST","PORTLAND, OR 97220",NA,"3272","327999","9","26-0052-09-01","www.portlandcleanair.org/26-0052","10404 NE MARX ST, PORTLAND, OR 97220",1,71131,"BROOKS PRODUCTS LLC","MFG PRECAST CONCRETE PRODUCTS",327999,"ALL OTHER MISC NONMTLLIC MINERAL PRODUCT M",0,"",23058,"POZZOLITH 122E","CALCIUM CHLORIDE","200-499","500-999","GALLONS","ABOVEGROUND TANK","Miscellaneous Hazardous Material","",1,37,"26-0052"
"25","26-0071","City of Portland Bureau of Water Works","1900 N INTERSTATE AVE","PORTLAND, OR 97227",NA,"3273","327320","9","26-0071-09-01","www.portlandcleanair.org/26-0071","1900 N INTERSTATE AVE, PORTLAND, OR 97227",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,362,"26-0071"
"26","26-0101","Morse Bros., Inc. ","5700 NE SUNDIAL RD","TROUTDALE, OR 97060",NA,"3273","327320","9","26-0101-09-01","www.portlandcleanair.org/26-0101","5700 NE SUNDIAL RD, TROUTDALE, OR 97060",1,87963,"KNIFE RIVER","READY MIX CONCRETE-ASPHALT BATCH PLANT",327390,"OTHER CONCRETE PRODUCT MFG",324121,"ASPHALT PAVING MIXTURE & BLOCK MFG",22666,"POLYHEED 997","SODIUM NITRATE","1,000-4,999","1,000-4,999","GALLONS","PLASTIC OR NON-METALLIC DRUM","Acute Health Hazard","",1,867,"26-0101"
"27","26-0101","Morse Bros., Inc. ","5700 NE SUNDIAL RD","TROUTDALE, OR 97060",NA,"3273","327320","9","26-0101-09-01","www.portlandcleanair.org/26-0101","5700 NE SUNDIAL RD, TROUTDALE, OR 97060",1,87963,"KNIFE RIVER","READY MIX CONCRETE-ASPHALT BATCH PLANT",327390,"OTHER CONCRETE PRODUCT MFG",324121,"ASPHALT PAVING MIXTURE & BLOCK MFG",22836,"PORTLAND CEMENT","PORTLAND CEMENT","50,000-99,999","50,000-99,999","POUNDS","SILO","Acute Health Hazard","Chronic Health Hazard",1,867,"26-0101"
"28","26-0101","Morse Bros., Inc. ","5700 NE SUNDIAL RD","TROUTDALE, OR 97060",NA,"3273","327320","9","26-0101-09-01","www.portlandcleanair.org/26-0101","5700 NE SUNDIAL RD, TROUTDALE, OR 97060",1,87963,"KNIFE RIVER","READY MIX CONCRETE-ASPHALT BATCH PLANT",327390,"OTHER CONCRETE PRODUCT MFG",324121,"ASPHALT PAVING MIXTURE & BLOCK MFG",24270,"RECOVER","DIMETHOXANE","1,000-4,999","1,000-4,999","GALLONS","ABOVEGROUND TANK","Combustible Material","Acute Health Hazard",1,867,"26-0101"
"29","26-0101","Morse Bros., Inc. ","5700 NE SUNDIAL RD","TROUTDALE, OR 97060",NA,"3273","327320","9","26-0101-09-01","www.portlandcleanair.org/26-0101","5700 NE SUNDIAL RD, TROUTDALE, OR 97060",1,87963,"KNIFE RIVER","READY MIX CONCRETE-ASPHALT BATCH PLANT",327390,"OTHER CONCRETE PRODUCT MFG",324121,"ASPHALT PAVING MIXTURE & BLOCK MFG",24824,"RHEOMAC VMA 358","3,5,7-TRIAZA-1-AZONIATRICYCLO","200-499","500-999","GALLONS","PLASTIC OR NON-METALLIC DRUM","Acute Health Hazard","",1,867,"26-0101"
"30","26-0101","Morse Bros., Inc. ","5700 NE SUNDIAL RD","TROUTDALE, OR 97060",NA,"3273","327320","9","26-0101-09-01","www.portlandcleanair.org/26-0101","5700 NE SUNDIAL RD, TROUTDALE, OR 97060",1,87963,"KNIFE RIVER","READY MIX CONCRETE-ASPHALT BATCH PLANT",327390,"OTHER CONCRETE PRODUCT MFG",324121,"ASPHALT PAVING MIXTURE & BLOCK MFG",24897,"RIGHT OFF 650","PHOSPHORIC ACID","500-999","500-999","GALLONS","TOTEBIN","Acute Health Hazard","Corrosive Material",1,867,"26-0101"
"31","26-0101","Morse Bros., Inc. ","5700 NE SUNDIAL RD","TROUTDALE, OR 97060",NA,"3273","327320","9","26-0101-09-01","www.portlandcleanair.org/26-0101","5700 NE SUNDIAL RD, TROUTDALE, OR 97060",1,87963,"KNIFE RIVER","READY MIX CONCRETE-ASPHALT BATCH PLANT",327390,"OTHER CONCRETE PRODUCT MFG",324121,"ASPHALT PAVING MIXTURE & BLOCK MFG",30904,"USED OIL","LUBRCATING OILS USED","500-999","500-999","GALLONS","STEEL DRUM","Acute Health Hazard","Chronic Health Hazard",1,867,"26-0101"
"32","26-0101","Morse Bros., Inc. ","5700 NE SUNDIAL RD","TROUTDALE, OR 97060",NA,"3273","327320","9","26-0101-09-01","www.portlandcleanair.org/26-0101","5700 NE SUNDIAL RD, TROUTDALE, OR 97060",1,87963,"KNIFE RIVER","READY MIX CONCRETE-ASPHALT BATCH PLANT",327390,"OTHER CONCRETE PRODUCT MFG",324121,"ASPHALT PAVING MIXTURE & BLOCK MFG",32949,"WRDA-64","TRIETHANOLAMINE","1,000-4,999","1,000-4,999","GALLONS","PLASTIC OR NON-METALLIC DRUM","Acute Health Hazard","Chronic Health Hazard",1,867,"26-0101"
"33","26-0101","Morse Bros., Inc. ","5700 NE SUNDIAL RD","TROUTDALE, OR 97060",NA,"3273","327320","9","26-0101-09-01","www.portlandcleanair.org/26-0101","5700 NE SUNDIAL RD, TROUTDALE, OR 97060",1,87963,"KNIFE RIVER","READY MIX CONCRETE-ASPHALT BATCH PLANT",327390,"OTHER CONCRETE PRODUCT MFG",324121,"ASPHALT PAVING MIXTURE & BLOCK MFG",3334,"ASPHALT EMULSION","ASPHALT","10,000-49,999","10,000-49,999","GALLONS","ABOVEGROUND TANK","Combustible Material","Acute Health Hazard",1,867,"26-0101"
"34","26-0101","Morse Bros., Inc. ","5700 NE SUNDIAL RD","TROUTDALE, OR 97060",NA,"3273","327320","9","26-0101-09-01","www.portlandcleanair.org/26-0101","5700 NE SUNDIAL RD, TROUTDALE, OR 97060",1,87963,"KNIFE RIVER","READY MIX CONCRETE-ASPHALT BATCH PLANT",327390,"OTHER CONCRETE PRODUCT MFG",324121,"ASPHALT PAVING MIXTURE & BLOCK MFG",35786,"V-MAR 3","METHYL ISOTHIOCYANATE","500-999","500-999","GALLONS","TOTEBIN","Chronic Health Hazard","",1,867,"26-0101"
"35","26-0101","Morse Bros., Inc. ","5700 NE SUNDIAL RD","TROUTDALE, OR 97060",NA,"3273","327320","9","26-0101-09-01","www.portlandcleanair.org/26-0101","5700 NE SUNDIAL RD, TROUTDALE, OR 97060",1,87963,"KNIFE RIVER","READY MIX CONCRETE-ASPHALT BATCH PLANT",327390,"OTHER CONCRETE PRODUCT MFG",324121,"ASPHALT PAVING MIXTURE & BLOCK MFG",43143,"DARASET 400","CALCIUM NITRATE","1,000-4,999","1,000-4,999","GALLONS","ABOVEGROUND TANK","Acute Health Hazard","Reactive Material",1,867,"26-0101"
"36","26-0101","Morse Bros., Inc. ","5700 NE SUNDIAL RD","TROUTDALE, OR 97060",NA,"3273","327320","9","26-0101-09-01","www.portlandcleanair.org/26-0101","5700 NE SUNDIAL RD, TROUTDALE, OR 97060",1,87963,"KNIFE RIVER","READY MIX CONCRETE-ASPHALT BATCH PLANT",327390,"OTHER CONCRETE PRODUCT MFG",324121,"ASPHALT PAVING MIXTURE & BLOCK MFG",43295,"SOY RESPONSE","ALKYL (C16-C18) METHYL ESTERS","200-499","500-999","GALLONS","ABOVEGROUND TANK","Acute Health Hazard","Combustible Material",1,867,"26-0101"
"37","26-0101","Morse Bros., Inc. ","5700 NE SUNDIAL RD","TROUTDALE, OR 97060",NA,"3273","327320","9","26-0101-09-01","www.portlandcleanair.org/26-0101","5700 NE SUNDIAL RD, TROUTDALE, OR 97060",1,87963,"KNIFE RIVER","READY MIX CONCRETE-ASPHALT BATCH PLANT",327390,"OTHER CONCRETE PRODUCT MFG",324121,"ASPHALT PAVING MIXTURE & BLOCK MFG",43684,"PS-1466","ETHYLENEDIAMINE","1,000-4,999","1,000-4,999","GALLONS","ABOVEGROUND TANK","Acute Health Hazard","",1,867,"26-0101"
"38","26-0101","Morse Bros., Inc. ","5700 NE SUNDIAL RD","TROUTDALE, OR 97060",NA,"3273","327320","9","26-0101-09-01","www.portlandcleanair.org/26-0101","5700 NE SUNDIAL RD, TROUTDALE, OR 97060",1,87963,"KNIFE RIVER","READY MIX CONCRETE-ASPHALT BATCH PLANT",327390,"OTHER CONCRETE PRODUCT MFG",324121,"ASPHALT PAVING MIXTURE & BLOCK MFG",54435,"HIGH CALCIUM HYDRATED LIME","CALCIUM HYDROXIDE","50,000-99,999","50,000-99,999","POUNDS","SILO","Corrosive Material","",1,867,"26-0101"
"39","26-0101","Morse Bros., Inc. ","5700 NE SUNDIAL RD","TROUTDALE, OR 97060",NA,"3273","327320","9","26-0101-09-01","www.portlandcleanair.org/26-0101","5700 NE SUNDIAL RD, TROUTDALE, OR 97060",1,87963,"KNIFE RIVER","READY MIX CONCRETE-ASPHALT BATCH PLANT",327390,"OTHER CONCRETE PRODUCT MFG",324121,"ASPHALT PAVING MIXTURE & BLOCK MFG",5459,"CALCIUM CHLORIDE","CALCIUM CHLORIDE","1,000-4,999","1,000-4,999","GALLONS","PLASTIC OR NON-METALLIC DRUM","Acute Health Hazard","",1,867,"26-0101"
"40","26-0101","Morse Bros., Inc. ","5700 NE SUNDIAL RD","TROUTDALE, OR 97060",NA,"3273","327320","9","26-0101-09-01","www.portlandcleanair.org/26-0101","5700 NE SUNDIAL RD, TROUTDALE, OR 97060",1,87963,"KNIFE RIVER","READY MIX CONCRETE-ASPHALT BATCH PLANT",327390,"OTHER CONCRETE PRODUCT MFG",324121,"ASPHALT PAVING MIXTURE & BLOCK MFG",57141,"AVALANCHE","NONE LISTED ON MSDS","500-999","500-999","GALLONS","TOTEBIN","Acute Health Hazard","",1,867,"26-0101"
"41","26-0101","Morse Bros., Inc. ","5700 NE SUNDIAL RD","TROUTDALE, OR 97060",NA,"3273","327320","9","26-0101-09-01","www.portlandcleanair.org/26-0101","5700 NE SUNDIAL RD, TROUTDALE, OR 97060",1,87963,"KNIFE RIVER","READY MIX CONCRETE-ASPHALT BATCH PLANT",327390,"OTHER CONCRETE PRODUCT MFG",324121,"ASPHALT PAVING MIXTURE & BLOCK MFG",58289,"RIGHT SHINE","NONE LISTED ON MSDS","500-999","500-999","GALLONS","TOTEBIN","Miscellaneous Hazardous Material","",1,867,"26-0101"
"42","26-0101","Morse Bros., Inc. ","5700 NE SUNDIAL RD","TROUTDALE, OR 97060",NA,"3273","327320","9","26-0101-09-01","www.portlandcleanair.org/26-0101","5700 NE SUNDIAL RD, TROUTDALE, OR 97060",1,87963,"KNIFE RIVER","READY MIX CONCRETE-ASPHALT BATCH PLANT",327390,"OTHER CONCRETE PRODUCT MFG",324121,"ASPHALT PAVING MIXTURE & BLOCK MFG",8671,"DARACEM 55","CALCIUM NITRATE","1,000-4,999","1,000-4,999","GALLONS","ABOVEGROUND TANK","Acute Health Hazard","Combustible Material",1,867,"26-0101"
"43","26-0101","Morse Bros., Inc. ","5700 NE SUNDIAL RD","TROUTDALE, OR 97060",NA,"3273","327320","9","26-0101-09-01","www.portlandcleanair.org/26-0101","5700 NE SUNDIAL RD, TROUTDALE, OR 97060",1,87963,"KNIFE RIVER","READY MIX CONCRETE-ASPHALT BATCH PLANT",327390,"OTHER CONCRETE PRODUCT MFG",324121,"ASPHALT PAVING MIXTURE & BLOCK MFG",8681,"DARAVAIR","SODIUM HYDROXIDE","1,000-4,999","1,000-4,999","GALLONS","PLASTIC OR NON-METALLIC DRUM","Corrosive Material","",1,867,"26-0101"
"44","26-0101","Morse Bros., Inc. ","5700 NE SUNDIAL RD","TROUTDALE, OR 97060",NA,"3273","327320","9","26-0101-09-01","www.portlandcleanair.org/26-0101","5700 NE SUNDIAL RD, TROUTDALE, OR 97060",1,87963,"KNIFE RIVER","READY MIX CONCRETE-ASPHALT BATCH PLANT",327390,"OTHER CONCRETE PRODUCT MFG",324121,"ASPHALT PAVING MIXTURE & BLOCK MFG",8932,"DELVO STABILIZER","PHOSPHONIC ACID ((NITRILOTRIS(METHYLENE","1,000-4,999","1,000-4,999","GALLONS","ABOVEGROUND TANK","Acute Health Hazard","",1,867,"26-0101"
"45","26-0112","Oldcastle Precast, Inc Oldcastle Precast - Portland","755 NE COLUMBIA BLVD","PORTLAND, OR 97211-1405",NA,"3272","327320","9","26-0112-09-01","www.portlandcleanair.org/26-0112","755 NE COLUMBIA BLVD, PORTLAND, OR 97211",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,"26-0112"
"46","26-0253","Willamette Graystone, Inc. ","2405 NE 244TH AVE","WOOD VILLAGE, OR 97060-1064",NA,"3271, 1442",NA,"9","26-0253-09-01","www.portlandcleanair.org/26-0253","2405 NE 244TH AVE, WOOD VILLAGE, OR 97060",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,519,"26-0253"
"47","26-1939","Troutdale Sand & Gravel Co. ","2205 NE 244TH","TROUTDALE, OR 97060",NA,"3273","327320","9","26-1939-09-01","www.portlandcleanair.org/26-1939","2205 NE 244TH, TROUTDALE, OR 97060",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,464,"26-1939"
"48","26-1944","Ross Island Sand & Gravel Co. Vanport","1835 N MARINE DR","PORTLAND, OR 97217",NA,"3273","327320","9","26-1944-09-01","www.portlandcleanair.org/26-1944","1835 N MARINE DR, PORTLAND, OR 97217",1,4699,"ROSS ISLAND SAND & GRAVEL CO","CONCRETE",327390,"OTHER CONCRETE PRODUCT MFG",0,"",13583,"GLENIUM 3030 NS","NONE LISTED ON MSDS","500-999","1,000-4,999","GALLONS","ABOVEGROUND TANK","Combustible Material","",1,339,"26-1944"
"49","26-1944","Ross Island Sand & Gravel Co. Vanport","1835 N MARINE DR","PORTLAND, OR 97217",NA,"3273","327320","9","26-1944-09-01","www.portlandcleanair.org/26-1944","1835 N MARINE DR, PORTLAND, OR 97217",1,4699,"ROSS ISLAND SAND & GRAVEL CO","CONCRETE",327390,"OTHER CONCRETE PRODUCT MFG",0,"",18011,"MB AE 90","NONE LISTED ON SDS","500-999","1,000-4,999","GALLONS","ABOVEGROUND TANK","Miscellaneous Hazardous Material","",1,339,"26-1944"
"50","26-1944","Ross Island Sand & Gravel Co. Vanport","1835 N MARINE DR","PORTLAND, OR 97217",NA,"3273","327320","9","26-1944-09-01","www.portlandcleanair.org/26-1944","1835 N MARINE DR, PORTLAND, OR 97217",1,4699,"ROSS ISLAND SAND & GRAVEL CO","CONCRETE",327390,"OTHER CONCRETE PRODUCT MFG",0,"",23060,"POZZOLITH 200 N","TRIETHANOLAMINE","500-999","1,000-4,999","GALLONS","ABOVEGROUND TANK","Miscellaneous Hazardous Material","",1,339,"26-1944"
"51","26-1944","Ross Island Sand & Gravel Co. Vanport","1835 N MARINE DR","PORTLAND, OR 97217",NA,"3273","327320","9","26-1944-09-01","www.portlandcleanair.org/26-1944","1835 N MARINE DR, PORTLAND, OR 97217",1,4699,"ROSS ISLAND SAND & GRAVEL CO","CONCRETE",327390,"OTHER CONCRETE PRODUCT MFG",0,"",23064,"POZZOLITH NC534","CALCIUM NITRATE, TETRAHYDRATE","500-999","1,000-4,999","GALLONS","ABOVEGROUND TANK","Miscellaneous Hazardous Material","",1,339,"26-1944"
"52","26-1944","Ross Island Sand & Gravel Co. Vanport","1835 N MARINE DR","PORTLAND, OR 97217",NA,"3273","327320","9","26-1944-09-01","www.portlandcleanair.org/26-1944","1835 N MARINE DR, PORTLAND, OR 97217",1,4699,"ROSS ISLAND SAND & GRAVEL CO","CONCRETE",327390,"OTHER CONCRETE PRODUCT MFG",0,"",38546,"SLAG CEMENT","CALCIUM OXIDE","10,000-49,999","50,000-99,999","POUNDS","SILO","Acute Health Hazard","Chronic Health Hazard",1,339,"26-1944"
