"Company","Address","More Info URL"
"PCC STRUCTURALS INC","6465 SE Crosswhite Way, Portland, OR 97206, USA","www.portlandcleanair.org/onsite_storage_022288"
"OREGON GOLF CLUB THE","25700 SW Petes Mountain Rd, West Linn, OR 97068, USA","www.portlandcleanair.org/onsite_storage_023261"
"FOX EROSION CONTROL&LANDSCAPE","11901 SE Hwy 212, Clackamas, OR 97015, USA","www.portlandcleanair.org/onsite_storage_087819"
"FAIRDALE NURSERY","13200 SW Wilsonville Rd, Wilsonville, OR 97070, USA","www.portlandcleanair.org/onsite_storage_022655"
"VIOC","895 Molalla Ave, Oregon City, OR 97045, USA","www.portlandcleanair.org/onsite_storage_092684"
"YOSHITOMI BROTHERS INC","31919 SW Peach Cove Rd, West Linn, OR 97068, USA","www.portlandcleanair.org/onsite_storage_022504"
"CLACKAMAS COUNTY DTD","902 Abernethy Rd, Oregon City, OR 97045, USA","www.portlandcleanair.org/onsite_storage_018073"
"RESORT AT THE MOUNTAIN THE","26688 E Welches Rd, Welches, OR 97067, USA","www.portlandcleanair.org/onsite_storage_018139"
"SANDY CITY OF","52500 US-26, Sandy, OR 97055, USA","www.portlandcleanair.org/onsite_storage_019128"
"PORTLAND WATER BUREAU","50105 SE Rock Cut Rd, Corbett, OR 97019, USA","www.portlandcleanair.org/onsite_storage_019528"
"SANDY CITY OF","33400 SE Jarl Rd, Boring, OR 97009, USA","www.portlandcleanair.org/onsite_storage_019129"
"KAISER PERMANENTE","10200 SE Sunnyside Rd, Clackamas, OR 97015, USA","www.portlandcleanair.org/onsite_storage_019081"
"ODOT","2440 SE Stubb St, Milwaukie, OR 97222, USA","www.portlandcleanair.org/onsite_storage_019077"
"CASCADE POOLS","6775 SW McEwan Rd, Lake Oswego, OR 97035, USA","www.portlandcleanair.org/onsite_storage_020090"
"CLACKAMAS COUNTY DTD","19009 SE Barton Park Rd, Boring, OR 97009, USA","www.portlandcleanair.org/onsite_storage_018038"
"OREGON ARMY NATIONAL GUARD","15300 Minuteman Way, Clackamas, OR 97015, USA","www.portlandcleanair.org/onsite_storage_017640"
"FRESENIUS MEDICAL CARE","13560 SE 97th Ave, Clackamas, OR 97015, USA","www.portlandcleanair.org/onsite_storage_092572"
"PGE","33831 OR-224, Estacada, OR 97023, USA","www.portlandcleanair.org/onsite_storage_017374"
"LAKE OSWEGO CITY OF","4260 Kenthorpe Way, West Linn, OR 97068, USA","www.portlandcleanair.org/onsite_storage_017907"
"PCC STRUCTURALS INC","6667 SE Johnson Creek Blvd, Portland, OR 97206, USA","www.portlandcleanair.org/onsite_storage_020707"
"MOLALLA CITY OF","12424 Toliver Rd, Molalla, OR 97038, USA","www.portlandcleanair.org/onsite_storage_017974"
"DOW AGROSCIENCES","32905 S Morcom St, Woodburn, OR 97071, USA","www.portlandcleanair.org/onsite_storage_091633"
"VEOLIA WATER NA","591 N Cedar St, Canby, OR 97013, USA","www.portlandcleanair.org/onsite_storage_017904"
"LAKE OSWEGO SCHOOL DISTRICT 7J","2400 Hazel Rd, Lake Oswego, OR 97034, USA","www.portlandcleanair.org/onsite_storage_020753"
"PGE","209 Warner Milne Rd, Oregon City, OR 97045, USA","www.portlandcleanair.org/onsite_storage_017736"
"COHERENT INC","27650 SW 95th Ave, Wilsonville, OR 97070, USA","www.portlandcleanair.org/onsite_storage_055809"
"REXIUS FOREST BY-PRODUCTS INC","17550 63rd Ave, Lake Oswego, OR 97035, USA","www.portlandcleanair.org/onsite_storage_057645"
"OSWEGO ROOFING","17350 Boones Ferry Rd, Lake Oswego, OR 97035, USA","www.portlandcleanair.org/onsite_storage_056583"
"BRYSTAL LAWN & TREE INC","8747 S Heinz Rd, Canby, OR 97013, USA","www.portlandcleanair.org/onsite_storage_050685"
"BECKS BOTANICAL INC","4400 SW Advance Rd, Wilsonville, OR 97070, USA","www.portlandcleanair.org/onsite_storage_050267"
"CANBY TRANSFER & RECYCLING","SE 4th Ave, Canby, OR 97013, USA","www.portlandcleanair.org/onsite_storage_073697"
"OREGON CITY CITY OF","220 S John Adams St, Oregon City, OR 97045, USA","www.portlandcleanair.org/onsite_storage_073704"
"OREGON CITY CITY OF","206 S John Adams St, Oregon City, OR 97045, USA","www.portlandcleanair.org/onsite_storage_073705"
"OREGON CITY CITY OF","1211 Jackson St, Oregon City, OR 97045, USA","www.portlandcleanair.org/onsite_storage_073710"
"DOWERS WATERPROOFING INC","16631 SE 232nd Dr, Damascus, OR 97089, USA","www.portlandcleanair.org/onsite_storage_052237"
"F A BARTLETT TREE EXPERT COMPANY THE","11814 SE Jennifer St, Clackamas, OR 97015, USA","www.portlandcleanair.org/onsite_storage_051397"
"CASCADE SKI CLUB INC","30510 E Blossom Trail, Government Camp, OR 97028, USA","www.portlandcleanair.org/onsite_storage_051025"
"CLARKE MANUFACTURING CO INC","13388 S Molalla Forest Rd, Molalla, OR 97038, USA","www.portlandcleanair.org/onsite_storage_068983"
"SAME DAY AUTO SERVICE","16009 SE 106th Ave, Clackamas, OR 97015, USA","www.portlandcleanair.org/onsite_storage_069762"
"PRECISION METAL FINISHING","9201 S Kraxberger Rd, Canby, OR 97013, USA","www.portlandcleanair.org/onsite_storage_064900"
"BRENTWOOD CORP","453 Industrial Way, Molalla, OR 97038, USA","www.portlandcleanair.org/onsite_storage_069195"
"WEST LINN CITY OF","5095 Mapleton Dr, West Linn, OR 97068, USA","www.portlandcleanair.org/onsite_storage_067963"
"CLACKAMAS COUNTY SHERIFFS DEPT","12700 SE 82nd Ave, Clackamas, OR 97015, USA","www.portlandcleanair.org/onsite_storage_067717"
"ANDERSON POOLWORKS","9500 Boeckman Rd, Wilsonville, OR 97070, USA","www.portlandcleanair.org/onsite_storage_067304"
"WILSONVILLE CITY OF","9275 SW Tauchman St, Wilsonville, OR 97070, USA","www.portlandcleanair.org/onsite_storage_068401"
"SHIMADZU USA MANUFACTURING INC","SE 4th Ave, Canby, OR 97013, USA","www.portlandcleanair.org/onsite_storage_064252"
"WOLF INDUSTRIES INC","6541 SE Johnson Creek Blvd, Portland, OR 97206, USA","www.portlandcleanair.org/onsite_storage_060288"
"TRI COUNTY CONSTRUCTION CO","1363 SW Borland Rd, West Linn, OR 97068, USA","www.portlandcleanair.org/onsite_storage_059459"
"SOUTH FORK WATER BOARD","15962 Hunter Ave, Oregon City, OR 97045, USA","www.portlandcleanair.org/onsite_storage_058558"
"GREEN AIR PRODUCTS","29299 SE Wheeler Rd, Boring, OR 97009, USA","www.portlandcleanair.org/onsite_storage_032423"
"SEUBERT MACHINING & FAB INC","1075 NW Park Ave, Estacada, OR 97023, USA","www.portlandcleanair.org/onsite_storage_032382"
"PACIFIC NORTHWEST ENVIRONMENTAL LLC","19645 SE Sunnyside Rd, Damascus, OR 97089, USA","www.portlandcleanair.org/onsite_storage_029408"
"MAXWELL MOLD & MACHINE","960 82nd Dr, Gladstone, OR 97027, USA","www.portlandcleanair.org/onsite_storage_031495"
"MOON SHADOWS ETCHERS OF OREGON","37300 Ruben Ln, Sandy, OR 97055, USA","www.portlandcleanair.org/onsite_storage_031116"
"ZOCHERT FENCE COMPANY","8205 SE Gray St, Happy Valley, OR 97086, USA","www.portlandcleanair.org/onsite_storage_029536"
"K B RECYCLING INC","9602 SE Clackamas Rd, Clackamas, OR 97015, USA","www.portlandcleanair.org/onsite_storage_033788"
"BPA","16885 S Eaden Rd, Oregon City, OR 97045, USA","www.portlandcleanair.org/onsite_storage_024663"
"CLACKAMAS FIRE DISTRICT #1","28655 SE Hwy 212, Boring, OR 97009, USA","www.portlandcleanair.org/onsite_storage_024020"
"MOLALLA RIVER SCHOOL DIST 35","412 S Swiegle Ave, Molalla, OR 97038, USA","www.portlandcleanair.org/onsite_storage_023962"
"NEPTUNE SWIMMING POOL CO","13785 SE Ambler Rd, Clackamas, OR 97015, USA","www.portlandcleanair.org/onsite_storage_029340"
"HESTIA INC AKA HEARTH CLASSICS","37470 Ruben Ln, Sandy, OR 97055, USA","www.portlandcleanair.org/onsite_storage_085087"
"HALS CONSTRUCTION","20666 OR-213, Oregon City, OR 97045, USA","www.portlandcleanair.org/onsite_storage_026079"
"PROGRASS INC","29895 SW Kinsman Rd, Wilsonville, OR 97070, USA","www.portlandcleanair.org/onsite_storage_025418"
"TRUGREEN LP","5655 Willow Ln, Lake Oswego, OR 97035, USA","www.portlandcleanair.org/onsite_storage_025385"
"CHANGING LANDSCAPES INC","26267 SW 45th Dr, Wilsonville, OR 97070, USA","www.portlandcleanair.org/onsite_storage_025099"
"JIM CALCAGNO STUDIO","27400 SE Hwy 212, Boring, OR 97009, USA","www.portlandcleanair.org/onsite_storage_085292"
"PRECISION POWDER COATING INC","11719 SE 40th Ave, Milwaukie, OR 97222, USA","www.portlandcleanair.org/onsite_storage_085395"
"WAVERLEY COUNTRY CLUB","1100 SE Waverly Dr, Milwaukie, OR 97222, USA","www.portlandcleanair.org/onsite_storage_045148"
"SKYLINE NW CORP","117 Foothills Rd, Lake Oswego, OR 97034, USA","www.portlandcleanair.org/onsite_storage_043668"
"METRO SOUTH TRANSFER STATION","2001 Washington St, Oregon City, OR 97045, USA","www.portlandcleanair.org/onsite_storage_074665"
"PENSKE TRUCK LEASING CO  LP","15975 SE 130th Ave, Clackamas, OR 97015, USA","www.portlandcleanair.org/onsite_storage_048770"
"DYNO NOBEL INC","19070 S Lyons Rd, Oregon City, OR 97045, USA","www.portlandcleanair.org/onsite_storage_048743"
"PHILLIPS SOIL PRODUCTS INC","26050 S Highway 170, Canby, OR 97013, United States","www.portlandcleanair.org/onsite_storage_048227"
"LAMINATIONS CORP","9750 SW Hillman Ct #100, Wilsonville, OR 97070, USA","www.portlandcleanair.org/onsite_storage_048217"
"NORTHWEST TECHNOLOGIES INC","1150 NW Park Ave, Estacada, OR 97023, USA","www.portlandcleanair.org/onsite_storage_081794"
"COLTON SCHOOL DISTRICT 53","30205 S Wall St, Colton, OR 97017, USA","www.portlandcleanair.org/onsite_storage_042131"
"CANBY CITY OF","1480 NE Territorial Rd, Canby, OR 97013, USA","www.portlandcleanair.org/onsite_storage_082079"
"SYSCO PORTLAND INC","26250 SW Parkway Center Dr, Wilsonville, OR 97070, USA","www.portlandcleanair.org/onsite_storage_039438"
"OLDCASTLE ENCLOSURE SOLUTIONS","155 S Hazel Dell Way, Canby, OR 97013, USA","www.portlandcleanair.org/onsite_storage_043576"
"NORTH CLACKAMAS PARK & REC","7300 SE Harmony Rd, Milwaukie, OR 97222, USA","www.portlandcleanair.org/onsite_storage_043398"
"WALKER EMULSIONS INC","4401 SE Johnson Creek Blvd, Portland, OR 97222, USA","www.portlandcleanair.org/onsite_storage_005214"
"ENOCH PRECISION MACHINING","9085 Southeast Enoch Court, Clackamas, OR 97015, USA","www.portlandcleanair.org/onsite_storage_005246"
"MOLALLA REDI-MIX & ROCK PRODUCTS INC","13050 S Molalla Forest Rd, Molalla, OR 97038, USA","www.portlandcleanair.org/onsite_storage_103453"
"EARTH SCIENCE PRODUCTS CORP","23735 Airport Rd NE, Aurora, OR 97002, USA","www.portlandcleanair.org/onsite_storage_007973"
"ROCKWELL COLLINS AEROSPACE&ELE","27300 SW Parkway Ave, Wilsonville, OR 97070, USA","www.portlandcleanair.org/onsite_storage_002535"
"PRECISION INTERCONNECT","10025 SW Freeman Ct, Wilsonville, OR 97070, USA","www.portlandcleanair.org/onsite_storage_004502"
"PCC STRUCTURALS INC","2770 Southeast Mailwell Drive, Milwaukie, OR 97222, USA","www.portlandcleanair.org/onsite_storage_106559"
"PCC STRUCTURALS INC","5001 SE Johnson Creek Blvd, Milwaukie, OR 97222, USA","www.portlandcleanair.org/onsite_storage_005154"
"SSI SHREDDING SYSTEM INC","9760 Southwest Freeman Drive, Wilsonville, OR 97070, USA","www.portlandcleanair.org/onsite_storage_008407"
"CEMEX","515 SW Berg Pkwy, Canby, OR 97013, USA","www.portlandcleanair.org/onsite_storage_095639"
"WILLAMETTE EGG FARMS","31348 S Highway 170, Canby, OR 97013, USA","www.portlandcleanair.org/onsite_storage_002812"
"STANLEY HYDRAULIC TOOLS","3810 SE Naef Rd, Portland, OR 97267, USA","www.portlandcleanair.org/onsite_storage_002811"
"OREGON IRON WORKS","9889 SE Mather Rd, Clackamas, OR 97015, USA","www.portlandcleanair.org/onsite_storage_095614"
"ODFW","24500 S Entrance Rd, Estacada, OR 97023, USA","www.portlandcleanair.org/onsite_storage_005758"
"TECHNICAL INDUSTRIAL SALES INC","18574 S Hwy 99 E, Oregon City, OR 97045, USA","www.portlandcleanair.org/onsite_storage_015534"
"ANDERSON DIE & MFG CO","2425 SE Moores St, Milwaukie, OR 97222, USA","www.portlandcleanair.org/onsite_storage_001509"
"EVERETT MFG INC","5700 Willow Ln, Lake Oswego, OR 97035, USA","www.portlandcleanair.org/onsite_storage_006784"
"ADVANCED PLASTICS INC","37570 Ruben Ln STE B, Sandy, OR 97055, USA","www.portlandcleanair.org/onsite_storage_006766"
"TRI-LETT INDUSTRIES INC","13530 S Redland Rd, Oregon City, OR 97045, USA","www.portlandcleanair.org/onsite_storage_001560"
"NORTH AMERICAN SUBSTATION SERVICES, LLC","3701 SE Naef Rd, Milwaukie, OR 97267, USA","www.portlandcleanair.org/onsite_storage_103290"
"BLUE SKY FILTERS INC","16600 SE Kens Ct, Milwaukie, OR 97267, USA","www.portlandcleanair.org/onsite_storage_015005"
"LISANATTI FOODS INC","1815 S Red Soils Ct, Oregon City, OR 97045, USA","www.portlandcleanair.org/onsite_storage_002033"
"XEROX CORPORATION","26600 SW Parkway Ave, Wilsonville, OR 97070, USA","www.portlandcleanair.org/onsite_storage_005687"
"NEEDY BRICK & TILE","6401 Miller Rd, Hubbard, OR 97032, USA","www.portlandcleanair.org/onsite_storage_001974"
"LARSENS CREAMERY INC","16940 SE 130th Ave, Clackamas, OR 97015, USA","www.portlandcleanair.org/onsite_storage_001969"
"INTERSTATE MEAT DIST INC","9550 SE Last Rd, Clackamas, OR 97015, USA","www.portlandcleanair.org/onsite_storage_007371"
"TOWN & COUNTRY FENCE CO OF ORE","8810 SE Herbert Ct, Clackamas, OR 97015, USA","www.portlandcleanair.org/onsite_storage_012095"
"MET-TEK INC","15651 SE 125th Ct, Clackamas, OR 97015, USA","www.portlandcleanair.org/onsite_storage_004928"
"GROVTEC U S INC","13529 SE Johnson Rd, Portland, OR 97222, USA","www.portlandcleanair.org/onsite_storage_105525"
"COLUMBIA RUBBER LLC","14800 SE 82nd Dr, Clackamas, OR 97015, USA","www.portlandcleanair.org/onsite_storage_004929"
"COLUMBIA RUBBER,","14830 SE 82nd Dr, Clackamas, OR 97015, USA","www.portlandcleanair.org/onsite_storage_004931"
"LANDSCAPE EAST & WEST INC","15601 SE 90th Ave, Clackamas, OR 97015, USA","www.portlandcleanair.org/onsite_storage_011095"
"MUTUAL MATERIALS CO","16800 SE 130th Ave, Clackamas, OR 97015, USA","www.portlandcleanair.org/onsite_storage_004336"
"S A PIAZZA & ASSOCIATES LLC","15815 SE Piazza Ave, Clackamas, OR 97015, USA","www.portlandcleanair.org/onsite_storage_004751"
"DEBLOCK LANDSCAPING","2384 SE Ochoco St, Milwaukie, OR 97222, USA","www.portlandcleanair.org/onsite_storage_011044"
"WARN INDUSTRIES","13270 SE Pheasant Ct, Milwaukie, OR 97222, USA","www.portlandcleanair.org/onsite_storage_004799"
"OREGON CITY CITY OF","122 S Center St, Oregon City, OR 97045, USA","www.portlandcleanair.org/onsite_storage_011139"
"BUREAU OF ENVIRON SVCS","195 Foothills Rd, Lake Oswego, OR 97034, USA","www.portlandcleanair.org/onsite_storage_009937"
"OREGON GLASS COMPANY","10450 SW Ridder Rd, Wilsonville, OR 97070, USA","www.portlandcleanair.org/onsite_storage_008530"
"J M MECHANICAL INC","24436 OR-99E, Canby, OR 97013, USA","www.portlandcleanair.org/onsite_storage_013846"
"CONVEYCO MFG","15151 Minuteman Way, Clackamas, OR 97015, USA","www.portlandcleanair.org/onsite_storage_002381"
"OECO LLC","4607 SE International Way, Milwaukie, OR 97222, USA","www.portlandcleanair.org/onsite_storage_005090"
"WEST AUTOMOTIVE PRODUCTS LLC","405 S Redwood St, Canby, OR 97013, USA","www.portlandcleanair.org/onsite_storage_097292"
"TEMCO ENGINEERED PRODUCTS INC","10240 SE Mather Rd, Clackamas, OR 97015, USA","www.portlandcleanair.org/onsite_storage_003450"
"WILSONVILLE CONCRETE PRODUCTS","SW Industrial Way, Wilsonville, OR 97070, USA","www.portlandcleanair.org/onsite_storage_008575"
"CASCADE DRILLING LP","13600 SE Ambler Rd, Clackamas, OR 97015, USA","www.portlandcleanair.org/onsite_storage_099312"
"FULLER BROS INC","11507 SE Hwy 212, Clackamas, OR 97015, USA","www.portlandcleanair.org/onsite_storage_003496"
"POTTERS INDUSTRIES LLC","350 N Baker Dr, Canby, OR 97013, USA","www.portlandcleanair.org/onsite_storage_000975"
"COORSTEK MEDICAL","221 Commercial Pkwy, Molalla, OR 97038, USA","www.portlandcleanair.org/onsite_storage_101065"
"PLASTIMAYD CORPORATION","14151 Fir St, Oregon City, OR 97045, USA","www.portlandcleanair.org/onsite_storage_006207"
"PACKAGE CONTAINERS INC","777 NE 4th Ave, Canby, OR 97013, USA","www.portlandcleanair.org/onsite_storage_001005"
"WEYERHAEUSER NR CO","6051 S Lone Elder Rd, Aurora, OR 97002, USA","www.portlandcleanair.org/onsite_storage_016461"
"COCA-COLA REFRESHMENTS","9750 SW Barber St, Wilsonville, OR 97070, USA","www.portlandcleanair.org/onsite_storage_016371"
"CHEMSTATION OF OREGON","26100 SW 95th Ave #202, Wilsonville, OR 97070, USA","www.portlandcleanair.org/onsite_storage_101069"
"CORNELL PUMP CO","16261 SE 130th Ave, Clackamas, OR 97015, USA","www.portlandcleanair.org/onsite_storage_000400"
"TAYLOR MADE LABELS INC","17252 Pilkington Rd, Lake Oswego, OR 97035, USA","www.portlandcleanair.org/onsite_storage_006340"
"OREGON WILBERT VAULT CO","15520 SE 102nd Ave, Clackamas, OR 97015, USA","www.portlandcleanair.org/onsite_storage_001216"
"CANBY EXCAVATING INC","294 S Walnut Rd, Canby, OR 97013, USA","www.portlandcleanair.org/onsite_storage_100239"
"SPEEDY SEPTIC","12055 SE 282nd Ave, Boring, OR 97009, USA","www.portlandcleanair.org/onsite_storage_120825"
"RB FAB WORKS LLC","375 S Redwood St, Canby, OR 97013, USA","www.portlandcleanair.org/onsite_storage_121278"
"ORCHID ORTHOPEDIC SOLUTIONS OREGON INC","13963 Fir St, Oregon City, OR 97045, USA","www.portlandcleanair.org/onsite_storage_120668"
"FISHEAD CUSTOM PRINTING INC","16069 SE 98th Ave, Clackamas, OR 97015, USA","www.portlandcleanair.org/onsite_storage_118494"
"SKYDIVE OREGON INC","12150 OR-211, Molalla, OR 97038, USA","www.portlandcleanair.org/onsite_storage_119016"
"STREAM GLOBAL SERVICES INTERNATIONAL","9275 SW Peyton Ln, Wilsonville, OR 97070, USA","www.portlandcleanair.org/onsite_storage_120965"
"BRICKMAN GROUP","20395 SW Stafford Rd, Tualatin, OR 97062, USA","www.portlandcleanair.org/onsite_storage_110336"
"WILSONVILLE CONCRETE","16051 OR-224, Damascus, OR 97089, USA","www.portlandcleanair.org/onsite_storage_113581"
"GREENBLADE LAWNCARE INC","2320 Willamette Falls Dr, West Linn, OR 97068, USA","www.portlandcleanair.org/onsite_storage_120523"
"LAKE OSWEGO CORP","16901 Maple Cir, Lake Oswego, OR 97034, USA","www.portlandcleanair.org/onsite_storage_120927"
"LAKE OSWEGO CORP","W Oak Terrace, Lake Oswego, OR 97034, USA","www.portlandcleanair.org/onsite_storage_120926"
"LAKE OSWEGO CORP","18089 Bryant Rd, Lake Oswego, OR 97034, USA","www.portlandcleanair.org/onsite_storage_120931"
"PCC STRUCTURALS INC","13521 SE Johnson Rd, Portland, OR 97222, USA","www.portlandcleanair.org/onsite_storage_114161"
"LAKE OSWEGO CORP","Canal Rd, Rivergrove, OR 97034, USA","www.portlandcleanair.org/onsite_storage_120930"
"LAKE OSWEGO CORP","698 McVey Ave, Lake Oswego, OR 97034, USA","www.portlandcleanair.org/onsite_storage_120929"
"LAKE OSWEGO CORP","645 Northshore Rd, Lake Oswego, OR 97034, USA","www.portlandcleanair.org/onsite_storage_120928"
"PORTLAND CITY OF - STREETCAR","1516 NW Northrup St, Portland, OR 97209, USA","www.portlandcleanair.org/onsite_storage_092613"
"DENNIS SEVEN DEES LANDSCAPING","7355 SE Johnson Creek Blvd, Portland, OR 97206, USA","www.portlandcleanair.org/onsite_storage_043219"
"WESTERN ABRASIVES INC","1170 NE 63rd Ave, Portland, OR 97213, USA","www.portlandcleanair.org/onsite_storage_004797"
"CAMERON GREAT LAKES INC","2335 NW 29th Ave, Portland, OR 97210, USA","www.portlandcleanair.org/onsite_storage_004981"
"CAMERON GREAT LAKE INC","2323 NW 29th Ave, Portland, OR 97210, USA","www.portlandcleanair.org/onsite_storage_077571"
"PENSKE TRUCK LEASING","18900 NE San Rafael St, Portland, OR 97230, USA","www.portlandcleanair.org/onsite_storage_018973"
"OREGON SOAP COMPANY","12785 NE Whitaker Way, Portland, OR 97230, USA","www.portlandcleanair.org/onsite_storage_077755"
"DS SERVICES OF AMERICA INC","13233 NE Jarrett St, Portland, OR 97230, USA","www.portlandcleanair.org/onsite_storage_093266"
"ROSE QUARTER DIALYSIS CENTER","4905 NE Martin Luther King Jr Blvd, Portland, OR 97211, USA","www.portlandcleanair.org/onsite_storage_092566"
"HOLLYWOOD KIDNEY CENTER","2824 NE Wasco St, Portland, OR 97232, USA","www.portlandcleanair.org/onsite_storage_092571"
"PORTLAND PARKS & REC","6437 SE Division St, Portland, OR 97206, USA","www.portlandcleanair.org/onsite_storage_017050"
"PGE","E Burnside St, Gresham, OR, USA","www.portlandcleanair.org/onsite_storage_017359"
"ARDEN OLSON BUILDING INC","28930 SE Powell Valley Rd, Gresham, OR 97080, USA","www.portlandcleanair.org/onsite_storage_077554"
"GREEN STREET DETAILS INC","8900 NE Vancouver Way, Portland, OR 97211, USA","www.portlandcleanair.org/onsite_storage_045815"
"WIDMER BROS BREWING CO","924 N Russell St, Portland, OR 97227, USA","www.portlandcleanair.org/onsite_storage_060166"
"PACIFICORP","8111 NE Columbia Blvd, Portland, OR 97218, USA","www.portlandcleanair.org/onsite_storage_017230"
"KAISER PERMANENTE","3500 N Interstate Ave, Portland, OR 97227, USA","www.portlandcleanair.org/onsite_storage_019083"
"BRIDGEPORT BREWING CO","1318 NW Northrup St, Portland, OR 97209, USA","www.portlandcleanair.org/onsite_storage_045416"
"OTA FAMILY TOFU","Werehouse in Portland, OR, USA, 812 SE Stark St, Portland, OR 97214, USA","www.portlandcleanair.org/onsite_storage_004894"
"ODOT","1100 N Columbia Blvd, Portland, OR 97217, USA","www.portlandcleanair.org/onsite_storage_006037"
"P J FOOD SERVICE INC","15011 N Lombard St STE A, Portland, OR 97203, USA","www.portlandcleanair.org/onsite_storage_104016"
"ODOT","5315 NE 101st Ave, Portland, OR 97220, USA","www.portlandcleanair.org/onsite_storage_006036"
"MULTNOMAH COUNTY","1620 SE 190th Ave, Portland, OR 97233, USA","www.portlandcleanair.org/onsite_storage_017128"
"LEATHERMAN TOOL GROUP","12106 NE Ainsworth Cir, Portland, OR 97220, USA","www.portlandcleanair.org/onsite_storage_045070"
"DACON INDUSTRIES COMPANY","10661 N Lombard St, Portland, OR 97203, USA","www.portlandcleanair.org/onsite_storage_043602"
"GRESHAM GOLF LLC","2155 NE Division St, Gresham, OR 97030, USA","www.portlandcleanair.org/onsite_storage_043256"
"MULTNOMAH CO-VECTOR CONT","5235 N Columbia Blvd, Portland, OR 97203, USA","www.portlandcleanair.org/onsite_storage_017132"
"A B FINISHING TECH","6724 NE 46th Ave, Portland, OR 97218, USA","www.portlandcleanair.org/onsite_storage_047186"
"PORT OF PORTLAND","5750 NE Marine Dr, Portland, OR 97218, USA","www.portlandcleanair.org/onsite_storage_017924"
"BPA","905 NE 11th Ave, Portland, OR 97232, USA","www.portlandcleanair.org/onsite_storage_018737"
"PORT OF PORTLAND","7111 NE Alderwood Rd, Portland, OR 97218, USA","www.portlandcleanair.org/onsite_storage_017925"
"PORT OF PORTLAND","9699 N Rivergate Blvd, Portland, OR 97203, USA","www.portlandcleanair.org/onsite_storage_017926"
"PORT OF PORTLAND","10801 N Lombard St, Portland, OR 97203, USA","www.portlandcleanair.org/onsite_storage_017927"
"TROUTDALE CITY OF","1820 NW Graham Rd, Troutdale, OR 97060, USA","www.portlandcleanair.org/onsite_storage_017932"
"TRAILBLAZER FOODS INC","17900 NE San Rafael St, Portland, OR 97230, USA","www.portlandcleanair.org/onsite_storage_005303"
"PROGRASS INC","5330 NE 105th Ave, Portland, OR 97220, USA","www.portlandcleanair.org/onsite_storage_017945"
"ODFW","NE Herman Loop, Oregon 97014, USA","www.portlandcleanair.org/onsite_storage_005766"
"PENSKE TRUCK LEASING","1 NE Columbia Blvd, Portland, OR 97211, USA","www.portlandcleanair.org/onsite_storage_044180"
"PORTLAND CITY OF","4800 NE 122nd Ave, Portland, OR 97230, USA","www.portlandcleanair.org/onsite_storage_018745"
"NORTHWEST PIPE COMPANY","12005 N Burgard Rd, Portland, OR 97203, USA","www.portlandcleanair.org/onsite_storage_005267"
"IMPERIAL PAINT CO","2526 NW Yeon Ave, Portland, OR 97210, USA","www.portlandcleanair.org/onsite_storage_005714"
