"Company","Address","More Info URL","Has DEQ Permit","Has Onsite Storage of Chemicals","Has Uncontrolled Emissions","DEQ General Permit Type","DEQ General Permit Type Description","Three County Emissions Rank","Three County Heavy Metal Emissions Rank"
"Eagle Creek Gravel, Inc. ","25375 SE Talons Rd, Eagle Creek, OR 97022, USA","www.portlandcleanair.org/files/detailed_co_info/03-2668","Yes","No","No",8,"Other",NA,NA
"PCC Structurals, Inc. ","13340 SE 84th Ave, Clackamas, OR 97015, USA","www.portlandcleanair.org/files/detailed_co_info/03-2674","Yes","Yes","No",32," DEQ Standard Permit",NA,NA
"Georgia Pacific Gypsum, LLC Georgia Pacific Gypsum Firedoor","505 NE 3rd Ave, Canby, OR 97013, USA","www.portlandcleanair.org/files/detailed_co_info/03-2719","Yes","Yes","Yes",33," DEQ Simple Permit",93,82
"Northwest Pipeline LLC Oregon City Compressor Station","15124 S Springwater Rd, Oregon City, OR 97045, USA","www.portlandcleanair.org/files/detailed_co_info/03-2729","Yes","No","Yes",31," DEQ Title V Permit",92,101
"Consolidated Metco, Inc ","10448 SE Hwy 212, Clackamas, OR 97015, USA","www.portlandcleanair.org/files/detailed_co_info/03-2738","Yes","Yes","Yes",33," DEQ Simple Permit",27,9
"Safeway, Inc. ","9450 SE Mangan Dr, Clackamas, OR 97015, USA","www.portlandcleanair.org/files/detailed_co_info/03-2754","Yes","No","Yes",32," DEQ Standard Permit",41,63
"Stutzman Environmental Products, Inc. ","Molalla, OR 97038, USA","www.portlandcleanair.org/files/detailed_co_info/03-2763","Yes","No","No",33," DEQ Simple Permit",NA,NA
"Molalla Redi-Mix & Rock Products, Inc. ","32900 S Molalla Forest Rd, Molalla, OR 97038, USA","www.portlandcleanair.org/files/detailed_co_info/03-2773","Yes","No","No",9,"Other",NA,NA
"Miles Fiberglass & Plastics, Inc. ","1516 Main St, Oregon City, OR 97045, USA","www.portlandcleanair.org/files/detailed_co_info/03-2777","Yes","Yes","Yes",31," DEQ Title V Permit",3,NA
"Miles Fiberglass & Plastics, Inc. Miles Fiberglass & Composites","8855 SE Otty Rd, Happy Valley, OR 97086, USA","www.portlandcleanair.org/files/detailed_co_info/03-2778","Yes","Yes","Yes",31," DEQ Title V Permit",10,NA
"NW Natural Molalla Gate Station","10405 S Barnards Rd, Canby, OR 97013, USA","www.portlandcleanair.org/files/detailed_co_info/03-9507","Yes","No","Yes",33," DEQ Simple Permit",108,NA
"Universal Recycling Technologies, LLC ","10151 SE Jennifer St, Clackamas, OR 97015, USA","www.portlandcleanair.org/files/detailed_co_info/03-9511","Yes","No","Yes",33," DEQ Simple Permit",117,105
"AB Mauri Food, Inc. AB Mauri Fleischmann's","26994 SW 95th Ave, Wilsonville, OR 97070, USA","www.portlandcleanair.org/files/detailed_co_info/03-9517","Yes","Yes","Yes",33," DEQ Simple Permit",114,NA
"Valet Cleaners ","15020 SE McLoughlin Blvd, Oak Grove, OR 97267, USA","www.portlandcleanair.org/files/detailed_co_info/03-9522","Yes","No","No",6,"Other",NA,NA
"Mt. Hood Cleaners ","38862 Proctor Blvd, Sandy, OR 97055, USA","www.portlandcleanair.org/files/detailed_co_info/03-9525","Yes","No","No",6,"Other",NA,NA
"Diana's Cleaner ","16066 Boones Ferry Rd, Lake Oswego, OR 97035, USA","www.portlandcleanair.org/files/detailed_co_info/03-9530","Yes","No","No",6,"Other",NA,NA
"Cash's Drapery Inc. ","2366 SE Ochoco St, Milwaukie, OR 97222, USA","www.portlandcleanair.org/files/detailed_co_info/03-9531","Yes","No","No",6,"Other",NA,NA
"Abe's Royal Cleaners ","1839 Molalla Ave STE D, Oregon City, OR 97045, USA","www.portlandcleanair.org/files/detailed_co_info/03-9532","Yes","No","No",6,"Other",NA,NA
"Canby Station Cleaners Canby Station Cleaners","106 N Ivy St, Canby, OR 97013, USA","www.portlandcleanair.org/files/detailed_co_info/03-9533","Yes","No","No",6,"Other",NA,NA
"Bright Cleaners ","480 Portland Ave STE A, Gladstone, OR 97027, USA","www.portlandcleanair.org/files/detailed_co_info/03-9664","Yes","No","No",6,"Other",NA,NA
"Promise Cleaners ","12300 SE Sunnyside Rd, Clackamas, OR 97015, USA","www.portlandcleanair.org/files/detailed_co_info/03-9668","Yes","No","No",6,"Other",NA,NA
"Tomorrow Cleaners ","14626 SE McLoughlin Blvd, Portland, OR 97267, USA","www.portlandcleanair.org/files/detailed_co_info/03-9669","Yes","No","No",6,"Other",NA,NA
"Chris & Jessie's Cleaners ","417 1st St, Lake Oswego, OR 97034, USA","www.portlandcleanair.org/files/detailed_co_info/03-9670","Yes","Yes","No",6,"Other",NA,NA
"Carousel Laundry and Cleaners, Inc. ","927 Molalla Ave, Oregon City, OR 97045, USA","www.portlandcleanair.org/files/detailed_co_info/03-9673","Yes","No","No",6,"Other",NA,NA
"Champion Enterprises, LLC Style Cleaners","29911 SW Boones Ferry Rd, Wilsonville, OR 97070, USA","www.portlandcleanair.org/files/detailed_co_info/03-9675","Yes","No","No",6,"Other",NA,NA
"Clackamas Community College ","19600 Molalla Ave, Oregon City, OR 97045, USA","www.portlandcleanair.org/files/detailed_co_info/03-9677","Yes","Yes","No",34," DEQ Basic Permit",NA,NA
"Harmony Cleaners ","6335 SE Harmony Rd, Milwaukie, OR 97222, USA","www.portlandcleanair.org/files/detailed_co_info/03-9681","Yes","No","No",6,"Other",NA,NA
"Thomas Joseph Inc. dba Thomas Joseph Personalized Dry Cleaning","16060 SE 82nd Dr, Clackamas, OR 97015, USA","www.portlandcleanair.org/files/detailed_co_info/03-9682","Yes","No","No",6,"Other",NA,NA
